sgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
bsod nam gyi tshogs|développement de bienfaits
bsod nams|punya, bienfaits
bstan bcos|traité (commentant la parole du Bouddha)
bstan pa|enseignement, exposé, 'ce qui est montré'
bsu skyel|l'arrivée et le départ (p104)
btag grol|libération par le port, libération en portant (sur soi)
btang bzhag med pa|sans rien éliminer ni positionner, sans rien rejeter ou adopter
"btsal ba med pa; "|qui ne nécessite pas d'être cherché (ou recherché), sans devoir être cherché, qu'il n'y a pas lieu de chercher
ma btsal|qui ne nécessite pas d'être cherché (ou recherché), sans devoir être cherché, qu'il n'y a pas lieu de chercher
bu'i 'od gsal|la claire lumière 'enfant'
bum can|bumchen, kumbhaka (p30), respiration vase
bya ba'i rgyud|Kriyatantra
bya ba'i rgyud kyi theg pa|véhicule du Kriyatantra
bya bral|non action, non agir, libre d'action, sans activité, libération de toute activité (conceptuelle)
bya rtsol med pa|sans besoin de s'efforcer à faire, n'impliquant pas d'effort fastidieux
bya rtsol|faire effort en une activité, activités et effort, réagir, effort délibéré, effort volontaire, accomplissement laborieux, effort fastidieux
bya ba dang rtsol ba|faire effort en une activité, activités et effort, réagir, effort délibéré, effort volontaire, accomplissement laborieux, effort fastidieux
byams pa|un égarement (p95)
byan tshud pa|expérience personnelle vécue, obtenir la maîtrise par l'expérience personnelle
rang byan tshud pa|expérience personnelle vécue, obtenir la maîtrise par l'expérience personnelle
byang chub sems dpa'|Bodhisattva, héros pour l'éveil, vaillant à l'esprit d'éveil, vaillant pour l'éveil, chevalier d'éveil
byang chub sems dpa'i theg pa|véhicule des bodhisattvas
byang sems|bodhicitta, l'esprit d'éveil, l'éveil de l'esprit du cour, cour-esprit éveillé, cour-esprit d'éveil
byang chub kyi sems|bodhicitta, l'esprit d'éveil, l'éveil de l'esprit du cour, cour-esprit éveillé, cour-esprit d'éveil
byang chub sems|bodhicitta, l'esprit d'éveil, l'éveil de l'esprit du cour, cour-esprit éveillé, cour-esprit d'éveil
byar med|en lequel il n'est rien besoin de faire
byar med skyes bu|une personne qui n'a rien de plus à faire
byas pa|acte délibéré, action volontaire
byas pa tham cad don med|l'expérience de l'inanité de toutes nos activités (p27)
byed pa po|kartri, créateur, artisan créateur
byin rlabs|adhishthâna, consécration (p39), énergie spirituelle, 'vagues de clarté', une ondée d'inspiration, un rayonnement d'inspiration, bénédiction, influence spirituelle, inspiration, grâce, être inspiré (n169)
bying ba|torpeur
byung ba lnga'i rnal 'byor|le yoga des cinq éléments (p109)
byung bzhi'i sgra don|le sens des quatre éléments (p108)
byung gzhi|le fond d'où tout survient (ou surgit, jaillit), le gisement de base, le gisement à la base de tout, la base d'émergence (de toute chose), le bassin d'émergence de tout
thams cad 'byung ba'i gzhi|le fond d'où tout survient (ou surgit, jaillit), le gisement de base, le gisement à la base de tout, la base d'émergence (de toute chose), le bassin d'émergence de tout
byung 'jug med pa|sans l'avènement ni l'implication en/de (quelque chose)
byung sa med|ne viennent de nulle part, ne surgissent de nulle part
bzang ngan med pa|sans mieux ni pire, aucun n'est mieux ou pire, sans bon ni mauvais
bzhag pa|"1. demeurer, 'ça reste à demeure' (p38), reposer ; 2. jeter, larguer, laisser ; 3. confier quelque chose (à quelqu'un)"
gzhag pa|"1. demeurer, 'ça reste à demeure' (p38), reposer ; 2. jeter, larguer, laisser ; 3. confier quelque chose (à quelqu'un)"
bzhi cha gsum bral|quatrième temps libre des trois autres (p73)
bzod pa|patience, tolérance, endurance
ce re blta ba|contempler comme en un regard grand ouvert, avec les yeux béants équarquillés (p75), contempler en un regard béant, dépouillé et immobile (p79)
cer re bltas|contempler comme en un regard grand ouvert, avec les yeux béants équarquillés (p75), contempler en un regard béant, dépouillé et immobile (p79)
cer mthong|contempler comme en un regard grand ouvert, avec les yeux béants équarquillés (p75), contempler en un regard béant, dépouillé et immobile (p79)
cer re gtad|observer fixement (p86)
chad chod|sans discontinuité (p102), ininterrompu
chad lta ba|la vue nihiliste
chags sdang|(les saisies duelles) d'attraction et de répulsion (p93), attirance (ou attrait) et répugnance, désir et dégoût, concupiscence et répulsion, attirant ou repoussant
char ba'i yul|l'objet des appartitions (n268)
char gzhi|la base des apparitions, projet
'char ba'i gzhi|la base des apparitions, projet
char lugs|mode d'apparition
char sgo|la porte des appartitions (n268)
'char ba'i sgo|la porte des appartitions (n268)
char tshul|manière d'apparition, comment (les choses) apparaissent, façon d'apparaître
chen po|grand, total, immense
chi kha'i bar do|bardo du moment de la mort
chings su bcings|cerner la plus grande envergure, embrasser à plus grande échelle, englober sur une portée plus importante, ceindre à plus grande ampleur, être cerné (ou englobé) par la portée (ou l'étendue) de
cho 'phrul|magie (p74), créations
chos|1. Dharma, réalité, 2. les dharmas, phénomènes, 3. Dharma, l'enseignement du Bouddha, (affaires) spirituelles, 4.facteurs
chos 'byung|(le tétraèdre d'un dharmodaya) (p102), (le domaine d'émergence des dharmas) (p102), matrice, source la nature (des phénomènes), source de la réalité, domaine d'émergence de toute chose
chos dbyings|l'immensité toute ouverte, l'ouverture immense (n131), dharmadhâtu, le domaine de toute réalité, le domaine de la réalité (n144), réalité absolue, la dimension de toute existence, l'espace fondamental (ou élémentaire) des phénomènes
chos kyi dbyings|l'immensité toute ouverte, l'ouverture immense (n131), dharmadhâtu, le domaine de toute réalité, le domaine de la réalité (n144), réalité absolue, la dimension de toute existence, l'espace fondamental (ou élémentaire) des phénomènes
chos kun|tous les dharmas, tous les phénomènes (possibles)
chos kyi bdag med|le non soi des phénomènes, l'insubstantialité des phénomènes
chos log|enseignement erroné
chos lugs|tradition spirituelle
chos nyid|la réalité en soi (p73, 74, 76), dharmatâ, (p97), la réalité de la nature des phénomènes (p104), la réalité (de l'esprit)
chos nyid bar do|le bardo de la réalité en soi
chos nyid kyi rang ngo skyong ba|cultiver (ou préserver, continuer, maintenir) l'état immanent de la réalité en soi
chos nyid mngon sum|la réalité immédiate (n293)
chos nyid mngon sum gyi snang ba|la vision (ou luminosité) de la réalité en soi (ou véritable) (n127, n274), les/la vision(s) de la réalité immédiate (n268, 276)
chos nyid zad pa'i snang ba|"la vision (ou luminosité) de l'épuisement même de l'apparence de la réalité en soi (n127), la vision de l'épuisement de la réalité en soi (n274), la vision de l'épuisement de la réalité (n285) ; la vision de l'épuisement des imputations de l'intellection en la sphère de la réalité en soi (n285), vision de la résolution des phénomènes au-delà de l'esprit ordinaire, la vision en laquelle les phénomènes sont résolus et la conscience ordinaire est transcendée"
chos zad blo 'das kyi snang ba|"la vision (ou luminosité) de l'épuisement même de l'apparence de la réalité en soi (n127), la vision de l'épuisement de la réalité en soi (n274), la vision de l'épuisement de la réalité (n285) ; la vision de l'épuisement des imputations de l'intellection en la sphère de la réalité en soi (n285), vision de la résolution des phénomènes au-delà de l'esprit ordinaire, la vision en laquelle les phénomènes sont résolus et la conscience ordinaire est transcendée"
chos rnams|les réalités, les qualités (éveillées), les dharmas, les phénomènes
chos sku|dharmakâya
chos sku gcig po'i yo langs bskyang|continuer (ou préserver, maintenir) l'unique état sans blocage ni interruption du dharmakâya, préserver la nature libre, unique et sans cesse du dharmakâya, maintenir  l'unique état sans interruption ni blocage du dharmakâya
chos sku rgyal po'i rtsal|le potentiel (manifeste) du roi dharmakâya, l'exercice du roi dharmakâya
chos sku'i klong du dag pa|purifié en l'immensité (ou l'étendue, la vastitude) du dharmakâya
chos sku'i lta ba|la vue du dharmakâya
chos sku'i yo langs|l'état sans blocage ni interruption du dharmakâya, la nature libre et sans cesse du dharmakâya, l'état sans interruption ni blocage du dharmakâya, le jeu du dharmakâya
chos zad blo 'das kyi snang ba|la vision de l'épuisement des imputations de l'intellection en la sphère de la réalité en soi (n285), vision de la résolution des phénomènes au-delà de l'esprit ordinaire, la vision en laquelle les phénomènes sont résolus et la conscience ordinaire est transcendée
chos zad chen po|le grand épuisement (n127), la grande résolution des phénomènes, le grand épuisement des phénomènes
chu rgyun gyi rnal 'byor|le yoga cours de fleuve (p21), le yoga du cours du fleuve (n317)
chu bo rgyun gyi rnal 'byor|le yoga cours de fleuve (p21), le yoga du cours du fleuve (n317)
ci mdzad khyed shes|« tout ce qui est à accomplir est votre intelligence » (p71), « à votre volonté »
cig car ba|les instantanés immédiats (n193), non gradualistes
cig car 'jug pa|entrer instantanément
cig car|instantané, immédiat
cig char|instantané, immédiat
cir snang rang yin|son état d'existence en soi se manifestant partout
cir yang ma grub|quelque chose n'existant pas en soi de quelque façon que ce soit (p66)
cog bzhag bzhi|les quatre repos imperturbables, les quatre (modes de) laisser être, les quatre impavidités
cog bzhag|(état de) repos imperturbable, laisser être, suspension impassible (ou impavide)
cog gzhag|(état de) repos imperturbable, laisser être, suspension impassible (ou impavide)
da ltar gyi shes pa|la cognition de la présence d'instantanéité (p69, 70), conscience d'instantanéité, présence cognitive de l'instant, cognition d'instant présent, présence du moment instantané
dad pa|confiance, foi
"dag dbyings sgron ma; "|la luminosité de l'immensité pure (n268)
dag pa'i dbyings sgron ma|la luminosité de l'immensité pure (n268)
dag pa|pur
dag snang|(l'expérience) des apparences pures (p96), du monde sacré (p96), vision sacrée (p98), vision pure
dam bca'|assertion, vou, promesse, serment (de l'auteur qui précise son objectif en composant l'ouvrage)
dam bca' btang ba|s'engager à (faire)
dam tshig|lien sacré, samaya (n69), promesse sacrée, promesse solennelle, voeu solennel, engagement solennel, parole d'honneur
dam tshig sems dpa'|l'être de samaya, la déité lien, l'aspect symbolique (qui fait le lien sacré), l'être d'engagement (formel), l'être d'enrôlement
"dang po pa; "|débutant
las dang po pa|débutant
das rjes|testament
dbang|abhisheka, pouvoir, consécration, initiation, habilitation, abhikhinca (p19), confer de pouvoir
dbang bskur|conférer une initiation
dbang bzhi|les quatre initiations
dbang lung khrid|initiation (ou habilitation), transmission scripturaire et instructions (guidance)
dbang phyug|Seigneur, le tout puissant
dbang phyug pa|Shivaïte, pratiquant du Shivaïsme
dbang po|facultés, facultés sensorielles, capacités intellectuelles
dbang po gzhan la rag ma lus pa|ne dépend pas d'autres pouvoirs, sans dépendre de capacités autres
dbang po rab 'bring tha ma|capacités excellentes (ou supérieures, les meilleures), moyennes et inférieures (ou médiocres)
dbang po'i rkyen|circonstances des facultés (p85)
dbu ma|1. milieu, centre, 2. Mâdhyamaka, la Voie Médiane, Voie du Milieu, 3. l'artère centrale Uma (p30), le canal central, Uma, Avadhûti
dbu ma pa|Mâdhyamika, adepte de la voie médiane
dbu ma'i rtsa|Avadhûti, le canal central, l'artère centrale
dbu med|écriture en main courante (p71)
dbye ba|classification (p99), différencier, diviser
dbye bsdu|les catégories (p107), classifications, diviser en catégories
dbyer med|non deux, indissociabilité, inséparabilité, indivisible
dbye ba med par|non deux, indissociabilité, inséparabilité, indivisible
dbyings rig|l'intelligence immédiate de l'immensité (p82, 88), l'immensité intelligente (p92), domaine-intelligence, domaine de l'ouvert habité de l'intelligence (n134), l'indissociabilité de domaine et de l'intelligence, intelligence et domaine (non-deux) (n144)
dbyings rig dbyer med|domaine de l'ouvert habité de l'intelligence non deux (n134), l'indissociabilité de domaine et de l'intelligence, l'union de l'intelligence et du domaine, l'intelligence et domaine non-deux (n144)
dbyings rum|l'immensité matricielle (n268)
dbyings snang|la clarté de l'immensité (p88), clarté de l'espace
dbyings snang rnam dag gi sgron ma|la luminosité de la parfaite pureté de l'immensité de l'apparent (p88), la luminosité parfaitement pure de l'immensité des apparences (n268)
"dbyings; dbying"|dhâtu, le domaine de l'ouvert (p38), l'immensité (p84), la sphère, (grand) espace, dimension, espace fondamental
de bzhin gshegs pa|tathâgata, l'Ainsi allé, celui Parti en l'ansité
de bzhin gshegs pa'i snying po|Tathâgatagarbha, la nature de bouddha (inhérente, innée), la matrice de l'éveil, le germe de l'éveil, l'embryon de tathâgata
de kho na nyid ting nge 'dzin|samâdhi de l'ainsité
de nyid|Tathatâ, ainsité (n337), tathatâ, l'état d'être tel que c'est, réalité
de bzhin nyid|Tathatâ, ainsité (n337), tathatâ, l'état d'être tel que c'est, réalité
de kho na nyid|Tathatâ, ainsité (n337), tathatâ, l'état d'être tel que c'est, réalité
de ring|aujourd'hui (p27)
der dmigs nas|(la récitation) est faite en les expériences (précédemment citées) (p39)
dgag sgrub med pa|sans être entravées ni developpées (p74), sans arrêter ni pratiquer (p75), sans arrêter ni créer (de pensées)
dgag sgrub|(les saisies duelles) d'induction et d'élimination (p93), accepte ou rejette (p98), appréhende ou rejette (p98), rejeter et induire (p98), arrêter et pratiquer (p75), arrêter ou activer, entraver ou produire, stopper ou induire
dgag pa dang sgrub pa|(les saisies duelles) d'induction et d'élimination (p93), accepte ou rejette (p98), appréhende ou rejette (p98), rejeter et induire (p98), arrêter et pratiquer (p75), arrêter ou activer, entraver ou produire, stopper ou induire
dge sdig|vertueux et non-vertueux, vertu et vice, actes positifs ou négatifs
dgongs brgyud|transmission par l'esprit de sagesse, lignée directe par l'expérience éveillée
dgongs gter|trésor (terma) de l'esprit
dgongs pa|"1.la sagesse (p69), l'esprit éveillé (p70), l'esprit (de Samantabhadra) (p105), la cognition éveillée (p107), l'expérience éveillée (n268), pensée éveillée ; 2. intention"
dgos med|(vivre dans) la satisfaction (p98), l'absence de besoin, contentement
dgra bcom pa|destructeur de l'ennemi', arhat, 'soumetteur des ennemis'
di ri ri|un grondement bourdonnant (p78)
dkar 'jam rtsa'i sgron ma|la luminosité du canal blanc souple/tendre/soyeux
dkar lang lang|bouillonnement blanchâtre scintillant (p84)
dkar po chig thub|le remède universel
dkyil yangs po|dimension infinie, vastitude infinie
dmigs bcas|focalisation avec objet (ou référence), fixation encadrée (par)
dmigs bsam bral ba|"libre d'orientation, fixation sans objet, sans le cadre de référence de, sans qu'aucun cadre de référence ne s'applique ; ne peut être pensé comme étant ; libre de tout (cadre de) référence ; sans aucun point de référence ; libre de tout cadre de référence"
dmigs gtad bral ba|"libre d'orientation, fixation sans objet, sans le cadre de référence de, sans qu'aucun cadre de référence ne s'applique ; ne peut être pensé comme étant ; libre de tout (cadre de) référence ; sans aucun point de référence ; libre de tout cadre de référence"
dmigs gtad chos med|"libre d'orientation, fixation sans objet, sans le cadre de référence de, sans qu'aucun cadre de référence ne s'applique ; ne peut être pensé comme étant ; libre de tout (cadre de) référence ; sans aucun point de référence ; libre de tout cadre de référence"
dmigs med|"libre d'orientation, fixation sans objet, sans le cadre de référence de, sans qu'aucun cadre de référence ne s'applique ; ne peut être pensé comme étant ; libre de tout (cadre de) référence ; sans aucun point de référence ; libre de tout cadre de référence"
dmigs pa|orientation (p39), visualisation, conception, imagination, cadre référentiel (ou de référence)
dmigs pa med pa|"libre d'orientation, fixation sans objet, sans le cadre de référence de, sans qu'aucun cadre de référence ne s'applique ; ne peut être pensé comme étant ; libre de tout (cadre de) référence ; sans aucun point de référence ; libre de tout cadre de référence"
dmigs skor|les méditations (p104)
dmigs su med pa|"libre d'orientation, fixation sans objet, sans le cadre de référence de, sans qu'aucun cadre de référence ne s'applique ; ne peut être pensé comme étant ; libre de tout (cadre de) référence ; sans aucun point de référence ; libre de tout cadre de référence"
dngos grub|accomplissement(s), réalisation(s) (spirituelles), siddhi
dngos gzhi|pratique principale, corps de la pratique, corps principal de la pratique, pratique proprement dite, sujet principal
"dngos med; dngos po med pa"|une chose n'existant pas substantiellement (p66), ne pas exister (ex. l'esprit) (p67), insubstantiel, sans substance
dngos po med pa|une chose n'existant pas substantiellement (p66), ne pas exister (ex. l'esprit) (p67), insubstantiel, sans substance
dngos po|quelque chose existant substanciellement (p66), exister (ex. l'esprit) (p67), la réalité (p102), entité, chose concrète, substance
dngos po gsum|les trois catégories temporelles (que sont le passé, le présent et le futur) (p73)
dod 'byung nor bu|la gemme à souhaits
dod yon gyis snam bu|grandes banderoles des gratifications sensorielles (n168)
dod yon lnga|le vécu des cinq sens, les plaisirs des cinq sens
'dod pa'i yon tan lnga|le vécu des cinq sens, les plaisirs des cinq sens
don|artha, la nature (de l'expérience immédiate) (p106), sens, ultime, véritable, réalité, sens réel, bienfait, objectif, but, ultimement significatif, plein de sens, ultimement existant, l'état ultime (de)
don dam|sens, réalité, véritable, ultime, réalité ultime, sens (profond et) authentique
don gcig las ma 'das pa|sans aller au-delà de l'unique réalité, ne pas aller au-delà du sens unique, sans dépasser l'unicité, sans transgresser le sens unique
don gyi lta ba|la vraie vue, vue ultime, vue définitive, vue véritable
don gyi snying po|l'ultime essence-même, l'ultime cour essentiel, l'âme de l'ultime, le véritable cour essentiel
don gyi ye shes|véritable expérience première, prime expérience définitive, cognition primordiale ultime (ou réelle)
don med|inanité, vanité (n88), (actions) absurdes, qui n'a pas de sens, sans raison, en pure perte, futile, inutile, creux, vain, ne veut rien dire
don rnams|les facettes
dpal|glorieux, gloire, abondant, splendide, splendeur, valeur, magnificence, prestige, panache, faste, apparat, succès, éclat
dpe|exemple, métaphore, allégorie
dpe don mthun par|la métaphore correspondant à son sens profond, exemple et signification concordant (ou en conformité, en synchronie, qui coïncident), l'exemple et sa signification sous-jacente étant en harmonie
dpe ris|livre d'illustrations
dpe'i ye shes|gnose analogique, gnose signifiée au moyen d'exemples, expérience primordiale imagée (analogique, figurée, métaphorique, allégorique)
dpyad pa|vicâra, analysé, raisonnement, investigation (analytique)
dpyod pa|analyse, analyser, examiner, investiguer (analytiquement)
drag sngags|mantra courroucé, mantra violent
dran 'dun|cultivé en une 'attention' (p75)
dran med|absence de lucidité, sans lucidité, inconscient, distrait, absent
dran pa rgyun gcod|instructions interrompant le cours de la pensée, faire cesser le cours de la cognition (p109)
dran rig 'char nub med pa|l'absence d'apparition et de disparition des événements de la cognition (p75)
"dran rtog; "|les événements du mental (p72), événements mentaux ou intelligences (p73), pensées et souvenirs (ou mémoires), pensées
dran bsam|les événements du mental (p72), événements mentaux ou intelligences (p73), pensées et souvenirs (ou mémoires), pensées
drang don|neyârtha, sens pédagogique, sens didactique
drang thal le|droit et dégagé (p93)
dren pa'i bla ma|Lama qui guide (sur la voie), mentor, guide spirituel
dri med|nirmala, immaculé
dri ma med pa|nirmala, immaculé
drwa mig|fenêtre en oil de bouf (n165)
drwa phyed|filets sertis, demi guirlandes pendantes et serties de joyaux (n162), frise ornementée
du ba|fumée (signe de claire lumière, n238)
du bral med pa|transcendant l'union comme la séparation (p106), qui ne se forme puis se désintègre, sans union ni séparation (d'avec), qui ne se rassemble ni ne se disperse
'du 'bral med pa|transcendant l'union comme la séparation (p106), qui ne se forme puis se désintègre, sans union ni séparation (d'avec), qui ne se rassemble ni ne se disperse
du byed|samskâras, les facteurs formateurs (p55), formations karmiques, impulsions
du byed kyi las|activités des samskâras, activités des facteurs formateurs, karma engendré par les facteurs formateurs
dul ba|Vinaya, discipline (monastique)
dun pa|la ferme intention (p94), ferme aspiration, ardent désir (de)
dur khrod|charnier, cimetière
dus byas thams cad mi rtag pa'o|tout ce qui est composé est transitoire et impermanent (n85)
dus gsum 'pho 'gyur med pa|sans transition ni changement au travers des trois temps
dus ma byas|la non composition (n341), n'est pas chose composée, non composée
dus ma byas pa|la non composition (n341), n'est pas chose composée, non composée
dwang ma lnga ldan gyi thig le|le tiglé aux cinq sèves (p97), le bindu aux cinq quintessences
dwang|une transparence ouverte (p85), lustre, brillance, clair, pur, limpidité transparente (p70), transparent
dwangs|une transparence ouverte (p85), lustre, brillance, clair, pur, limpidité transparente (p70), transparent
dvangs|une transparence ouverte (p85), lustre, brillance, clair, pur, limpidité transparente (p70), transparent
dwangs pa|une transparence ouverte (p85), lustre, brillance, clair, pur, limpidité transparente (p70), transparent
dwangs ma lnga ldan gyi rtsa|le Canal aux cinq sèves (p97), le canal aux cinq quintessences
dzin med|l'état libre de saisie (p95)
dzin pa|grâhaka, saisie, saisir, concept, appréhender, réifier, prendre, prendre pour, tenir à, percevoir comme sujet, percevoir, sujet (qui appréhende)
dzin pas ma bcings|non emprisonné par la saisie, non contraint (ou lié, attaché, piégé, retenu, attrapé, pris au piège, enchaîné, entravé, attrapé, pris dans les fers, pris dans les chaînes) de la saisie, libre de l'imbroglio avec la saisie
e ma ho|Merveille ! Comme c'est merveilleux !
g.yas g.yon zur mig|le regard latéral en coin, à droite ou à gauche (p83)
g.yeng ba|distraction
g.yo med|non agité
gag bsdams|identifier la portée de, discerner les implications, distinguer au sein d'un contexte, identifier (ou percevoir, constater, comprendre, pénétrer, déceler, déterminer, apprécier) les conséquences (ou effets, la portée, aboutissements, conclusions, corollaires)
'gag bsdam|identifier la portée de, discerner les implications, distinguer au sein d'un contexte, identifier (ou percevoir, constater, comprendre, pénétrer, déceler, déterminer, apprécier) les conséquences (ou effets, la portée, aboutissements, conclusions, corollaires)
'gag tu bsdam pa|identifier la portée de, discerner les implications, distinguer au sein d'un contexte, identifier (ou percevoir, constater, comprendre, pénétrer, déceler, déterminer, apprécier) les conséquences (ou effets, la portée, aboutissements, conclusions, corollaires)
'gag tu bsdams pa|identifier la portée de, discerner les implications, distinguer au sein d'un contexte, identifier (ou percevoir, constater, comprendre, pénétrer, déceler, déterminer, apprécier) les conséquences (ou effets, la portée, aboutissements, conclusions, corollaires)
gang tu'ang ma grub|n'existe pas comme quoi que ce soit (p72)
gang zag|individu, personnes
gang zag gi bdag med|le non-soi de la personne
gang zag snyan brgyud|la transmission orale de personne à personne (ou entre individus)
gcer grol|libération par l'attention nue, libération nue, nue (vision) libératrice
gcer mthong|la nue vision (p19)
gcig dang tha dad bral ba|n'est ni un ni multiple
gcig grol|libération en un état unique, libre en un
gcig po|unité
gcig shes kun grol|connaissance unique qui libère tout, connaître une chose qui tout libère, unique savoir tout libérant, une connaissance libérant tout
gcig thag bcad pa|découvrir un état unique, être certain d'une chose unique (ou d'un état unique), établir la certitude quant à l'état unique
gcig|un, unique, unicité, singularité
gcig pu|un, unique, unicité, singularité
gcun|entraîner (p83), s'entraîner, s'exercer
gdams ngag|instructions essentielles
gdangs|l'éclat de l'énergie (p90), la luminosité de l'éclat (p70, 90), l'énergie (p42, n341), translucidité, translucide, rayonnement, éclat
gdangs 'gag pa med pa|l'énergie sans limite (n341), rayonnement sans fin
gdangs gsal ba|la brillante luminosité de l'éclat
gdeng|sûr, vivre (la vue, méditation et action), confiance, assurance
gdengs|sûr, vivre (la vue, méditation et action), confiance, assurance
gding|sûr, vivre (la vue, méditation et action), confiance, assurance
gding grol thog tu bca' ba|Etabli en la confiance libre (3ème vers du testament de Garab Dorjé) (p70), continuer directement avec assurance (ou confiance) en la libération
gdod ma|origine, premier
gdod ma'i dbyings|l'immensité primordiale (p90), l'ouverture (ou domaine, dimension, espace fondamental, espace élémentaire) primordiale
gdod ma'i gzhi|le fond originel, la base primordiale
gdod ma'i mgon po| dinâtha, protecteur originel, seigneur primordial, premier seigneur et maître, buddha primordial
gdod ma'i rnal 'byor|yoga primordial, yoga originel
gdod nas dag pa|primordiallement pur
gdos bcas|les aspects grossiers (p106), ce qui est substantiel (n313), concret
gdos bcas kyi phung po|les composants grossiers (p106)
gegs sel|évacuation des obstructions (p96), qui dissipe les obstacles (p97) élimination des obstacles (p105)
glo bur|adventice
glo bur ma dag pa|impuretés adventices
gnad|point particulier (p104), (pratique) essentielle, point clé, point essentiel, point crucial, point vital
gnad bkrol|révéler le point essentiel, le point clé ayant été mis au jour
gnad don|le sens réel du point essentiel, le véritable point essentiel, le point crucial ultime, le vrai point clé
gnad du bkrol ba|révéler au sein du point essentiel
gnad du brdeg pa|frapper le point essentiel, toucher le point clé, percuter le point crucial, atteindre au point vital
gnad gcig po|unique point essentiel
gnad gsum ldan pa'i lta ba|la vue dotée des trois points essentiels
gnad kun bkrol ba|révéler le point clé dans son intégralité
gnad ma nor ba|le point essentiel sans erreur, point crucial indubitable
gnas|theme, sujet
gnas lugs|(profond) état (naturel) (p75), état fondamental, le sens de l'esprit, disposition essentielle de l'esprit, condition naturelle, mode d'être
gnas lugs ji lta ba gzigs pa'i ye shes|l'intelligence première qui voit l'état naturel tel qu'il est, la prime expérience qui perçoit directement le sens de l'esprit, la cognition primordiale qui expérimente (ou vit, distingue, contemple, constate) directement l'état fondamental
"gnas med; "|la non-demeure, non-résidence (de l'esprit) (p66),
gnas med pa|la non-demeure, non-résidence (de l'esprit) (p66),
gnas pa med pa|la non-demeure, non-résidence (de l'esprit) (p66),
mi gnas|la non-demeure, non-résidence (de l'esprit) (p66),
mi gnas pa|la non-demeure, non-résidence (de l'esprit) (p66),
gnas sa med|la non-demeure, non-résidence (de l'esprit) (p66),
gnas pa|se reposer, demeurer, rester (immobile, calme, tranquille, sans bouger), état calme, être établi
gnas 'phro|au repos ou dispersé, immobile ou éparpillé, immobilité (à demeure) et projections, repos (tranquille) et émissions, sans bouger ou bien diffus, au repos ou prolixe, à demeure ou éparses, calme ou dissipé
gnas sa med|(les pensées) qui nulle part ne demeurent
gnas tshul|façon d'être, manière (ou mode) d'être, état, disposition, condition, situation
gnyen po|antidote
gnyis 'dzin gyi 'ching ba las 'grol ba|libéré des chaînes de la saisie dualiste
"gnyis 'dzin; gnyis su 'dzin pa"|la saisie dualiste, duel, la saisie duelle
gnyis med|advaya, non deux, non duel, sans dualité
gnyug ma|naturellement, état naturel
gnyug ma lhun grub|l'état naturel spontané (p76)
gnyug ma'i rnal 'byor|yoga de l'état naturel, yoga naturel
go ba|compréhension qui n'est qu'intellectuelle
gol sa|déviation, écueil, terrain de déviation, abîme
gol sgrib|déviations et obscurcissements, embardées et voiles, écarts et confusions, dérives et rajouts de confusion, erreur et voile
goms cha|l'entraînement même (p102)
goms pa'i tshad|le critère d'entraînement (p105)
grags stong|sonorité vide
grel pa|commentaires
gro drug|les six migrations (p99), (les êtres) vivant dans les six conditions, les six mondes, les six sortes de vivants
gro 'ong med pa|sans allée ni venue, ne va ni ne vient
gro sa med|ne vont nulle part, n'ont nulle part où aller
grol ba|libération, liberté, relaxer
grol ba gcig pu|libération unique, unique mode de libération
grol ba'i grong khyer|la cité (ou citadelle, ou bastide) de la libération
grol cha|côté libération
grol cha'i chos sku ngos bzung|reconnaître le dharmakâya du côté de la libération (ou par son aspect de)
grol gzhi|la base de (ou pour) la libération, le fond d'où l'on se libère
grol gzhi'i ye shes ngos 'dzin|reconnaître l'expérience première de la base de la libération
grol lam|voie de la libération (ou de l'auto-libération)
grol lugs|modes de libération
grol lugs bzhi|les quatre modes de libération
grol lugs gsum|les trois modes de libération (p106)
grol sa|l'état de libération, la terre de la liberté
grol sa gcig po yin par ngo shes|reconnaître comme étant l'unique état de libération
grol sa gcig pu|l'unique état de libération
grol tshad|la complète libération (p106), apogée de la libération
grub brgyud|siddhaparamparâ, lignée des accomplis
"grub med; ma grub pa"|n'est pas quelque chose ayant une existence substantielle (p66), incréé, pas réalizé, ne pas servir de/à
grub mtha'|siddhânta, les différentes perspectives de réalisation (p8), système philosophique, doctrines philosophiques, philosophie
grub thob|siddha, accompli, réalisé
grul bum|kumbhânda (p91), troll
gsal ba|une claire lucidité, luminosité, lucidité, lumineuse clarté, claire luminosité, clair, être clairement évident (comme, ou en tant que), être évident, illuminer
gsal ba'i nyams|expérience de clarté
gsal ba'i ye shes|la prime expérience de clarté
gsal cha|la clarté de (son intelligence)
gsal gdab|s'appliquer à la clarté (p100)
gsal 'grib med pa|(apparaître) sans fluctuation (p87), libre de clarté ou d'obscurité, sans (ou libre de, dépourvu de) éclaircissement ni obscurcissement
gsal le|clair et scintillant (p72)
gsal rig|l'éclat de cet état de cette intelligence (p73)
gsal stong|clarté vide (p66), lumineuse vacuité, état de vacuité lucide, luminosité vide
gsal stong dbyer med|clarté vide non deux, indissociabilité de clarté et vide, clarté vide indissociable (ou inséparable)
gsal stong 'dzin med|clarté vide de saisie, clarté naturelle en l'état d'absence de saisie, en état déssaisi (n238)
