'bras bu| Fruit
mtshan bcas kyi 'du shes|perceptions avec caractéristiques
mtshan nyid 'du shes|perceptions avec caractéristiques
mtshan bcas kyi rnal 'byor|yoga avec caractéristiques
mtshan byang|carte du nom, effigie nominale du défunt
mtshan bzang po sum cu rtsa gnyis|trente-deux marques majeures du corps d'un bouddha
mtshan dang bcas pa'i zhi gnas|calme mental avec attributs
mtshan ma|signes, attribut, marque, caractère projeté sur un phénomène
mtshan ma med pa|sans signes, sans attributs
mtshan med 'du shes|perceptions sans caractéristiques
mtshan med kyi 'du shes|perceptions sans caractéristiques
mtshan med kyi rnal 'byor|yoga sans caractéristiques
mtshan med rnal 'byor|yoga sans caractéristiques
mtshan med kyi zhi gnas|calme mental dépourvu d'attributs
mtshams med pa lnga|cinq crimes à rétribution immédiate
mtshams med lnga|cinq crimes à rétribution immédiate
mtshan nyid|caractéristiques
mtshan nyid|fabrication, signe, marque
mtshan nyid dang bral ba'i skad cig ma|instant dénué de caractéristiques
mtshan nyid gsum|trois caractéristiques ou natures des phénomènes (Cittamatra)
mtshan nyid med pa|sans caractéristiques
mtshan snang gi bar do|état intermédiaire des apparences nocturnes
mtshon byed lam gyi 'od gsal|claire lumière métaphorique de la voie
mtshung ldan gyi rgyu|causes concomitantes
mtshung ldan gyi rkyen|relation d'association, conditions concomitantes
mu bzhi|quatre alternatives extrêmes, tétralemme
mu stegs pa|opposants du bouddhisme
mun khang|cellule obscure
mun mtshams|retraites dans l'obscurité.
myang 'das|au-delà de la souffrance
mya ngan 'das pa|au-delà de la souffrance
na bza'|vêtements
na rag dong sprugs|rituels pour ébranler jusqu'aux tréfonds des enfers
na ro'i chos drug|Les Six yogas de Naropa
nag lam|noirceur.
nam mkha'|espace
nam mkha' ar gtad|fixer le regard dans l'espace
nam mkha' gsum ar gtad|contemplation des trois cieux
nam mkha' mtha' yas skye mched|sphère de l'espace infini
nam mkha' mtha' yas snyoms 'jug|égalisation de la sphère de l'espace infini
nam mkha'i khams|élément espace, éther
nam mkha'i me tog|fleurs du ciel
nang gi mchod pa|offrandes intérieures
nang gi rgyud|tantra internes ou supérieurs
nang gi skye mched drug|six sources internes
nang ltar ru shan dbye ba|disjonction intérieure du sa?sara et du nirva?a
nang rab tu dang ba|limpidité intérieure
nang stong pa nyid|vacuité des phénomènes internes
nar nar po|troisième stade embryonnaire
naro chos drug|six yoga de Naropa
nga rgyal|orgueil
nga rgyal gyi khams|tempérament orgueilleux
ngag|parole
ngag 'khyal|se complaire dans le bavardage inutile
ngag dben|isolement de la parole
ngag gi las|karma de la parole
ngan song (gsum)|destinées défavorables ou infortunées (3)
nges pa'i las|karman déterminé
nges 'byin|délivrance définitive
nges 'byung|renoncement, sortie
nges bstan|démonstration, exposé, explication, enseignement
nges don|sens définitif
nges pa lnga|cinq certitudes ou perfections
phun sum tshogs pa lnga|cinq certitudes ou perfections
nges pa'i rigs|gotra définis ou certains
ngo bo ka dag|essence primordialement pure
ngo bo nyid sku|Corps d'essentialité
ngo bo stong pa|essence vide
ngo rang thog tu sprad pa|être présenté directement à sa vraie nature
ngo shes pa|reconnaître sa vraie nature
ngo sprod|présentation de la nature de l'esprit
ngo sprod 'bras bu'i bar do|état intermédiaire du Fruit de la présentation
ngo sprod thob rnams|pratiquants qui ont obtenu la présentation
ngo tsha che|honte, respect de soi
ngo tsha med pa|absence de gêne, manque de respect de soi
ni gu'i chos drug|les Six yogas deNiguma
nor bu'i 'khor lo|roue du joyau pointe du sexe
nor can rigs|famille du joyau
nor lha rgyal gyi rlung|souffle du dieu vainqueur de la fortune
nub kyi ri bo pa|Aparasaila (école)
nur nur po|premier stade embryonnaire
nya lta bu|stade embryonnaire semblable à un poisson
nyams brgyud|lignée des instructions par l'expérience
nyams gsum|trois expériences méditatives
nyams kyi 'od gsal|claire lumière de l'expérience
nyams myong|expérience méditative
nyams pa'i chos can dgra bcom pa|arhat corruptible
nyams snang gong 'phel gyi snang ba|vision de l'accroissement des expériences
nyan thos|auditeurs
nyan thos dgra bcom|arhat auditeur
nyan thos kyi mngon rtogs|réalisation parfaite des sravaka ou auditeurs
nyan thos kyi theg pa|véhicule des auditeurs
nyan thos rigs|lignée des sravaka
nyan thos rtsa ba'i sde pa bzhi|quatre écoles des auditeurs
nye 'khor dmyal ba|enfers périphériques
nye ba'i sras brgyad|huit fils proches
nye bar sbyor ba|application
nye nyon nyi shu|passions secondaires (20 ou16)
nyer gnas|établir, garder près de
rim 'gro|établir, garder près de
nyer thob|obtention approchante.
nyer thod 'od gsal 'dres pa|fusion de l'obtention approchante et de la claire lumière
nyes spyod sdom pa'i tshul khrims|éthique d'abstention des actes négatifs
nyi zla kha sbyor|l'union du soleil et de la lune.
nyin snang gi bar do|état intermédiaire des apparences diurnes
nying mtshams sbyor|jonction avec la vie suivante
nyon mongs|passion obscurcissante, émotion perturbatrice
nyon mongs kyi bag chags|empreintes karmiques des passions
nyon mongs kyi bdud|démon des passions
nyon mongs mang ba|excès de passions
nyon mongs pa'i sgrib pa|obscurcissement passionnel
nyon mongs rnam dag de bzhin nyid|tathata pure de toute souillure passionnelle
nyon yid|mental souillé
nyon yid rnam shes|conscience mentale entachée de passions
pad ma|lotus
pad+ma ra ga|rubis
pad ma'i rig dzin|vidyadhara du lotus
pad ma'i rigs|famille du lotus
pha rgyud|tantra-pères ou masculins
pha rol tu phyin pa|vertu transcendante
pha rol tu phyin pa bcu|dix paramita
pha rol tu phyin pa drug|six paramita
phag rgod lta bu|stade embryonnaire semblable au sanglier
phan yul|Pays de Phan (bon).
pho brang|palais
pho dbang|facultés sexuelles masculines
phra ba thim|dissolutions subtiles.
phra ba'i sems|niveau subtil de l'esprit
phra men brgyad|les huit Pisaci
phra mo|subtil
phrag dog|jalousie, envie
phrin las bzhi|quatre activités éveillées
phrin las rnam pa bzhi yi gnas de bzhin nyid|tathata support de la maîtrise des quatre activités
phung po|agrégats, corps
phung po lhag bcas kyi sangs rgyas pa|Éveil avec résidus
phung po lhag med du sangs rgyas pa|Éveil sans résidus
phung po lnga|cinq agrégats
phung po'i bdud|démon des agrégats
phya rgya chen po'i rig 'dzin|vidyadhara du Mahamudra ou grand symbole
phyag 'tshal|prosternation, se prosterner, rendre hommage
phyag 'tshal|se prosterner, rendre hommage
phyag mtshan las byang chub|Éveil par l'attribut symbolique
phyag rgya|geste, sceau, symbole
phyag rgya bzhi|quatre sceaux ou mudra
phyag rgya chen po|grand symbole
phyag rgya chen po'i rig 'dzin|vidyadhara du Mahamudra
phyag rgya gsum|trois sceaux ou marques de l'existence
phyag rgya ma|sceau d'action, épouse secrète
phyam brdal|unité englobante
phyed 'phar ba|ceux qui bondissent en changeant de cieux
phyi nang gnyis stong pa nyid|vacuité interne et externe à la fois
phyi rtags|signes extérieurs.
phyi'i mngon rtogs|réalisation parfaite ultérieure
phyi'i rgyud|tantra externes ou inférieurs
phyi'i skye mched drug|six sources externes
phyin ci log|erreur, déviation
phyir mi ldog pa'i sa|terre sans recul
phyir mi ldog pa'i byang chub sems dpa'|bodhisattva sans recul
phyir 'ong 'bras gnas|ceux qui jouissent du fruit de ne revenir qu'une fois
phyir 'ong 'bras gnas khyad par can|ceux qui jouissent de façon extraordinaire du fruit qui consiste à ne revenir qu'une fois
phyir 'ong 'bras gnas tsam po ba|ceux qui jouissent sans ambition du fruit de ne revenir qu'une fois
phyir 'ong zhugs pa|ceux qui approchent le fruit de ne revenir qu'une fois
phyir mi 'ong 'bras gnas|ceux qui jouissent du fruit de ne pas revenir
phyir mi 'ong lus mngon byed pa|ceux qui ne reviennent pas et en témoignent par le corps
phyir mi 'ong mthong chos zhi ba|ceux qui ne reviennent pas et atteignent la libération dans la vie même où ils entrent dans la voie de la vision
phyir mi 'ong pa|"qui ne revient pas"
phyir mi 'ong zhugs pa|ceux qui approchent le fruit de ne pas revenir
phyir rgol|opposant, contradicteur
phyir stong pa nyid|vacuité des phénomènes externes
phyogs|catégorie, direction
phyogs 'dzin|partialité, attachement aux opinions
phyogs chos|prémisse mineure
phywa gshen gyi theg pa|véhicule gshen de la prédiction (bon)
(rca) 'khor lo|roue, chakra
rab byung|entrée en noviciat
rab byung gi mkhan po|précepteur monacal
rab byung gi sdom pa|voux de moines
rab cig char ba|pratiquants suprêmes à réalisation instantanée
rab gi dbang rnams|pratiquants aux meilleures facultés
rab skyes|production
rab tu 'od gsal gyi sa|totalement lumineuse
rab tu dga' ba|joie éminente
rab tu dga' ba'i sa|Joyeuse (1reterre)
rab tu rnam par 'byed pa|examen exhaustif des particularités des phénomènes
rab tu spros med kyi dbang|transmission de pouvoir absolument dénuée d'élaborations
rags pa|grossier
rags pa'i sems|niveau grossier de l'esprit
ral gri'i rig 'dzin|vidyadhara à l'épée
rang babs|cours naturel (de l'esprit)
rang byung ye shes|sagesse née d'elle-même
rang bzhin|nature, essence
rang bzhin gnas pa'i bar ma do|état intermédiaire où l'on demeure naturellement
rang bzhin grub pa'i stong pa|absence d'existence inhérente de la personne
rang bzhin gsal ba|nature lumineuse
rang bzhin gyi 'od gsal|claire lumière naturelle
rang bzhin gyi bar do|bardo naturel de la vie
skyes gnas bar do|bardo naturel de la vie
rang bzhin gyi rigs|gotra inné
rang bzhin gyi skad|prakrit (langue vernaculaire indienne)
rang bzhin gyi tshogs brgyad bcu|quatre-vingt natures
rang bzhin med pa|insubstantialité, absence de nature propre
rang bzhin skye gnas bar do|état intermédiaire naturel du lieu de naissance
rang bzhin sprul pa'i zhing khams|champs purs du Corps d'apparition naturel
rang bzhin stong pa nyid|vacuité de nature des phénomènes
rang dbang|autonomie
rang don|son propre bien, le but pour soi: atteindre l'Éveil
rang don rjes dpag|raisonnement inférentiel "pour soi"
rang gi ngo bo stong pa nyid|vacuité de nature inhérente
rang gi sems kyi cho 'phrul|prodige magique de son propre esprit
rang grol|liberté naturelle, autolibération
rang la longs sku|corps de jouissance pour soi-même
rang lus thabs lam|voie des moyens par son propre corps
rang mtshan|caractéristiques individuelles, objet singulier
rang mtshan gyis grub pa|existant de par ses caractéristiques propres
rang mtshan stong pa nyid|vacuité des caractères propres
rang ngo shes pa|reconnaître sa vraie nature
rang rgyal dgra bcom pa|arhat pratyekabuddha
rang rgyal gyi mngon rtogs|réalisation parfaite des pratyekabuddha
rang rgyal gyi theg pa|véhicule des bouddha-par-soi
rang rgyal rigs|lignée des pratyekabuddha
rang rgyal|bouddha-par-soi
rang sangs rgyas|bouddha-par-soi
rang rgyud dbu ma pa|école des syllogiciens de la Voie médiane
dbu ma rang rgyud pa|école des syllogiciens de la Voie médiane
rang rgyud rjes dpag|syllogismes autonomes
rang rig|conscience se connaissant elle-même, conscience aperceptive (Yogacara)
rang rig mngon sum|aperception, perception directe aperceptive
rang rig ye shes|sagesse de la Présence innée
rang rig|la Présence éveillée auto-connaissante, le rig pa naturel (rDzogs chen)
rang rtags|signes intrinsèques
rang sar grol|libérer dans son propre domaine, libérer dans sa propre condition naturelle
rang sa ru grol|libérer dans son propre domaine, libérer dans sa propre condition naturelle
rang skya thub pa'i rdzas|substance autonome
rang skyes|produit à partir de soi-même
rang stobs kyi grol ba|libération par sa propre force
rang stong|vacuité inhérente
rang zin|rappel naturel
rde'u dkar dang nag|cailloux blancs et noirs
rdo rje|diamant
rdo rje 'chang chen po'i zung 'jug gi sgyu lus|corps illusoire d'union du grand Vajradhara
rdo rje 'dzin gyi sa|terre du détenteur adamantin
rdo rje bzlas pa|récitation adamantine
rdo rje dbyings kyi dkyil 'khor|ma??ala du plan adamantin
rdo rje gdan|siège de diamant
rdo rje khu tshur|poing adamantin.
rdo rje lta bu ting nge 'dzin|recueillement semblable au diamant
rdo rje lu gu rgyud|chaînes adamantines
rdo rje nga rgyal|fierté de vajra
rdo rje rgya gram|croix de vajra ou double vajra
rdo rje sems dpa' khong gseng gi lam|profonde voie secrète de Vajrasattva
rdo rje sku|corps de diamant
rdo rje skyil krung|posture de diamant
rdo rje slob dpon|maître de vajra
rdo rje slob dpon gyi dbang|initiation du maître adamantin
rdo rje theg pa|véhicule du diamant
rdo rje zam pa|le Pont adamantin, Klong sde
rdo rje'i cho ga gsum|trois rites adamantins
rdo rje'i dbang|transmission de pouvoir du vajra
rdo rje'i dbyings kyi dkyil 'khor|ma??ala de l'espace adamantin
rdo rje'i gur|tente adamantine.
rdo rje'i gzegs ma|éclats de diamant
rdo rje'i lam|voie adamantine, canal de l'organe sexuel masculin
rdo rje'i rig dzin|vidyadhara adamantin
rdo rje'i rigs|famille du diamant
rdo rje'i sku|Corps adamantin
rdul phran|atome, particule
rdzas|objet existant, phénomène doué d'efficience
rdzas gter|terma matériels
rdzas yod|existant en réalité, entité réelle
rdzas|matériaux du rituel
rdzogs chen man ngag sde|série des instructions essentielles du rDzogs chen
rdzogs chen|grande perfection
rdzogs pa chen po|grande perfection
rdzogs ldan gyi bskal pa|ère de perfection
rdzogs pa'i byang chub|Éveil complet
rdzogs rim|phase d'achèvement, étape de complétion
rdzogs sku|Corps de Perfection (Bon)
rdzu 'phrul mngon shes|connaissance des transformations miraculeuses
rdzu 'phrul rkang pa bzhi|quatre membres miraculeux
rdzun pa|mentir, mensonge
re dogs|espoir et crainte
re dogs med pa|sans espoir ni crainte
reg bya|texture, objet tangible
reg bya'i skye mched|source des textures
reg pa|contact
reg pa'i zas|aliment du toucher
rga ba|vieillesse
rga ba|destruction, perte
rga shi|vieillesse et mort
rgod pa|excitation, agitation mentale, dissipation
rgya chad|déchirure dans la paroi du vase de jouvence (rDzogs chen)
rgya che ba'i 'du shes|perceptions étendues
rgya chung ba'i 'du shes|perceptions limitées
rgyags pa|suffisance, infatuation, griserie
rgyal ba|vainqueur
rgyal ba lnga|cinq jina ou vainqueurs
rgyal ba rigs lnga|cinq familles de bouddhas
rgyal ba'i dgongs brgyud|lignée de l'esprit des vainqueurs
rgyal ba'i rigs|familles de bouddhas
rgyal ba'i rigs lnga|cinq familles de vainqueurs
rgyal byed tshal gnas|Jetavaniya (école)
rgyal chen bzhi|quatre rois gardiens des directions
rgyal mtshan|signe, bannière de victoire
rgyal sras|fils des vainqueurs
rgyal srid sna bdun|sept possessions d'un cakravartin
rgyan|parures
rgyan drug mchog gnyis|six ornements et deux excellents
rgyang zhag chu'i sgron ma|lampe d'eau du lasso vers le lointain (yeux)
rgyas pa'i las|activité d'enrichissement ou d'accroissement
rgyu|cause, raison
rgyu 'bras man ngag bdun|sept préceptes de la cause et de l'effet
rgyu med|sans cause
rgyu med las skye ba|production sans causes
rgyu mthun don nyid mchog gi de bzhin nyid|tathata suprême qui s'accorde à sa cause
rgyu mthun gyi 'bras bu|résultats conformes à leur cause
rgyu mtshan gyi khyad chos|base de distinction
rgyu'i bon|bon de la cause (Bon).
rgyu'i rkyen|condition causale, causalité
rgyu rkyen|condition causale, causalité
rgyu'i sa bon|syllabe-germe causale
rgyu'i theg pa|véhicules de la cause
rgyu'i ting nge 'dzin|samadhi de la cause
rgyu'i ting nge 'dzin|recueillement de la cause
rgyud|continuum, trame
rgyud pa|continuum de conscience, série psychique
rgyud sde 'og ma|tantra externes ou inférieurs
rgyud sde lnga|cinq classes de tantra
rgyud sde steng ma|tantra internes ou supérieurs
rgyud tha dad med de bzhin nyid|tathata sans distinctions d'espèces
rgyun du zhugs pa|entré dans le courant
rgyun du zhugs zhugs pa|ceux qui approchent le fruit de l'entrée dans le courant
rgyun zhugs 'bras gnas|ceux qui jouissent du fruit de l'entrée dans le courant
rgyun zhugs 'bras gnas tsam po ba|entrés dans le courant sans ambition
rgyun zhugs rigs nas rigs skyes|entrés dans le courant qui prennent naissance de famille en famille
rgyun zhugs srid pa lan bdun pa|entrés dans le courant ayant encore sept renaissances avant la libération
rgyun zhugs zhugs pa chos kyi rjes su 'brang|ceux qui approchent l'entrée dans le courant en suivant le Dharma
rgyun zhugs zhugs pa dad pa'i rjes su 'brang|ceux qui approchent l'entrée dans le courant par la foi
rig 'dzin|détenteur de Présence éveillée
rig 'dzin|détenteur de connaissance
rig 'dzin ltar 'chi lugs|mourir à la manière des vidyadhara
rig 'dzin rnam bzhi|quatre niveaux de vidyadhara
rig pa|"1ºintelligence, savoir, connaissance; 2ºprésence éveillée, intelligence primordiale, état naturel (dans le Dzogchen)"
rig pa 'od la 'jug pa|entrée de la Présence éveillée dans la luminosité
rig pa ngo sprod|présentation de la Présence éveillée
rig pa tshad 'phebs kyi snang ba|vision de la pleine mesure de la Présence éveillée
rig pa'i rdo rje'i lu gu rgyud|chaînes adamantines de la Présence éveillée
rig pa'i rtsal dbang|transmission de pouvoir du dynamisme de la Présence éveiilée
rigs|lignée, famille, lignée spirituelle
rigs|raison
rigs 'thun pa|similarité d'espèce
rigs brgya'i gtso bo|Seigneur des cent familles Vajrasattva
rigs drug dal|diagramme des six destinées.
rigs drug rang sbyong|purification naturelle des six destinées
rigs drug|six destinées du sa?sara
rigs lnga|cinq familles de bouddhas
rigs lnga'i bder gshegs|les sugata des cinq familles
rigs lnga'i sangs rgyas|cinq familles de bouddhas
rigs med pa|sans lignée
rigs mthun pa'i bag chags|empreintes de similitude d'espèce
rigs pa|logique
blo rig|logique
rigs sa|terre de la lignée
ril 'dzin|phase de contraction
ril por 'dzin pa|phase de contraction
ril ba spyi blugs|vase à ablution
rim lnga|cinq étapes de la phase d'achèvement
rim pa|graduel, degré, étape
rin chen|joyau
rin chen rigs|famille du joyau
rin po che'i rig dzin|vidyadhara du précieux joyau
ring brgyud|lignée «éloignée» ou longue.
ring bsrel|reliques
gdung|reliques
ring du song ba'i sa|Éloignement (7eterre)
rje 'bangs nyer lnga|vingt-cinq disciples, roi et sujets
rjes dran|récapitulation, remémoration
rjes gnang|transmission de l'autorisation de pratiquer
rjes gzhig|dissolution subséquente
rjes su gzhig pa|dissolution subséquente
rjes su bsrung ba'i dgra bcom pa|arhat qui doit se protéger
rjes su chags pa|attachement
rjes su dpag|inférence
rjes su dran pa|récapitulation
rjes su dran pa drug|six réminiscences
rjes dran drug|six réminiscences
rjes su rnal 'byor|yoga subséquent
rjes su yi rang|offrande de la réjouissance
rkang gling|trompette de fémur
rkang lag 'gyus pa|cinquième stade embryonnaire
rkyang ma|canal latéral gauche
rkyang ma|canal blanc de droite
rkyen|condition, circonstance
rkyen bzhi|quatre circonstances
rlung|souffle vital, air subtil
rlung|souffles internes
rlung gi stobs|force du souffle
rlung ro dbyung bal|élimination des «cadavres du souffle»
rlung rta|cheval du souffle
rlung sems dbyer med|indivisibilité du souffle-esprit
rmi lam|rêve
rmi lam 'od gsal du ngo sprad pa|présentation des rêves comme étant la claire lumière
rmi lam bag chags kyi lus|corps onirique d'empreintes karmiques
rmi lam bar do|bardo des rêves
rmi lam bzung ba|appréhender, reconnaître les rêves
rmi lam gnas skabs|le moment des rêves
rmi lam gnyid kyi bar do|état intermédiaire des rêves et du sommeil
rmi lam gyi bar do|état intermédiaire des rêves
rmi lam gyi de kho na nyid sgom pa|méditation sur l'ainsité des rêves
rmi lam gyi gdams pa|yoga des rêves
rmi lam gyi gdams pa|yoga des rêves
rmi lam gyi gegs bsal|écarter les obstacles à la pratique des rêves
rmi lam gzung ba|l'identification des rêves
rmi lam sbyang ba|la purification des rêves
rmi lam spel ba|le développement des rêves
rmi lam yid kyi lus|corps mental de rêve
rmug pa|léthargie, inertie
rna ba'i dbang po|faculté de l'oreille
rna ba'i rnam shes|conscience de l'oreille
rna'i skye mched|source de l'oreille
rnag gzan g.yan ba dgab pa|bandage de moine
rnal 'byor|yoga
rnal 'byor bla med kyi rgyud|tantra de l'union insurpassable
rnal 'byor bla na med pa'i rgyud|tantra de l'union insurpassable
rnal 'byor bzhi|quatre yoga
rnal 'byor chen po'i rgyud|tantra de la grande union
rnal 'byor gyi rgyud|tantra de l'union
rnal 'byor gyi sngon du 'gro ba'i ting nge 'dzin|recueillement préliminaire du Yoga
rnal 'byor ma'i rgyud|tantra-mère, tantra des yogini
rnal 'byor mngon sum|perception directe des yogis
rnal 'byor spyod pa|Yogacara (école)
rnal 'byor spyod pa'i dbu ma rang rgyud pa|école des syllogiciens de la Voie médiane tenants du yoga
rnal du babs|établir dans l'état naturel
rnam byang phyogs kyi 'grel rkang nga lnga|cinquante-cinq classes de phénomènes purs
rnam g.yeng|distraction
rnam grangs kyi don dam|absolu catégoriel
rnam grol gyi skad cig|instant de complète libération
rnam kun mchog ldan stong pa nyid|vacuité parée des qualités suprêmes
rnam pa gsum|trois modes ou aspects d'un bouddha
rnam pa thams cad pa'i mchog dang ldan pa'i stong pa nyid|vacuité parée des qualités suprêmes
rnam par 'byed pa|examen discernant le phénomène
rnam par 'tshe ba|violence, hostilité
rnam par brtag pa|examen, analyse
rnam par mi 'tsho ba|non-violence
rnam par nyed pa'i skad cig ma|instant du complet frottement (tantra)
rnam par rig byed|désignation, imputation
rnam par rig byed min pa'i gzugs|formes imperceptibles
rnam par rig pa tsam|rien que connaissance
rnam par shes pa|acte de connaissance, conscience dualiste et modale
rnam par shes pa'i phung po|agrégat de la conscience
rnam par shes pa'i tshogs brgyad kun gzhir thim pa|dissolution des huit consciences dans la Base universelle
rnam par smin pa'i skad cig ma|instant de complète maturation
rnam pa sna tshogs pa'i skad cig ma|instant de la diversité phénoménale
rnam par thar pa|libération complète
rnam rtog|conceptuel, pensée conceptuelle
rnam shes|acte de connaissance, conscience modale
rnam shes 'od gsal la thim pa|dissolution de la conscience dans la claire lumière
rnam shes dgug pa|convocation de la conscience du défunt
rnam shes kyi khams|éléments des consciences
rnam shes kyi zas|aliment de la conscience
rnam shes mtha' yas skyed mched|sphère de la conscience infinie
rnam shes mtha' yas snyoms 'jug|égalisation de la sphère de la conscience infinie
rnam shes spar ba|projeter la conscience
rnam smin|maturation, rétribution
rnam smin gyi 'bras bu|résultat à pleine maturité
rnam smin gyi rgyu|cause de rétribution ou de maturation
rnam smin rig dzin|vidyadhara pleinement mûri
rnam smin sems bskyed|bodhicitta pleinement mûrie
rnam smin sha khrag gi lus|corps de rétribution fait de chair et de sang
rnam snang gi chos bdun|posture dite en sept points de Vairocana
rnam snang gi chos bdun|sept postures de Vairocana
rnam thar|"Libération complète" (biographie d'un personnage religieux)
rngul gzan|châle monacal
rngul gzan gyi gzan|châle supplémentaire de moine
ro|goût
ro bsregs cho ga|rituel de la crémation du corps
ro bsregs|crémation
ro gcig|saveur unique de toutes choses
ro ma|canal subtil rouge de gauche
ro sbyang|purification du cadavre
ro la sbyang ba|purification du cadavre
ro'i skye mched|source des goûts
rtag chad dang bral ba|au-delà de la permanence et du néant
rtag mtha'|éternalisme
rtag pa|permanent, éternel
rtag pa'i lta ba|éternalisme
rtag pa'i smra ba|éternalistes
rtags bcas sgom|méditation avec signes
rtags kyi 'od gsal|claire lumière des signes
rten 'brel|maillon de la co-production conditionnée
rten 'brel bcu gnyis|douze liens de la co-production conditionnée
rten bskyed|création du support
rten cing 'brel bar 'byung ba|co-production conditionnée
rtog med|sans concept
rtog pa|concept, idée, pensée conceptuelle
rtog pa|raisonnement investigateur, pensée conceptuelle
rtog pa brgyad bcu|quatre-vingt pensées conceptuelles
rtog pa'i khams|tempérament discursif
rtog ge ba|tempérament discursif
rtogs brjod|paraboles et histoires biographiques de réalisation spirituelle
rtogs pa'i 'od gsal|claire lumière dite de réalisation
rtogs pa'i skal ba can gyi dgra bcom|arhat susceptible de pénétration
rton pa bzhi|quatre objets de confiance
rtsa ba|racine, origine, source
rtsa ba'i bla ma|maître-source, lama-racine
rtsa ba'i nyon mongs pa drug|six passions-racines
rtsa dbu ma|canal central
dgra can|canal central
rtsa gsum|trois racines
rtsa ka ti|canal spécial reliant le cour aux yeux.
rtsa rgyud|tantra-racine
rtsa rtsir|compression des artères.
rtsa'i khor lo|roue des canaux
rtsal|expression dynamique, énergie créatrice
rtsangs kyi rlung|souffle du lézard
rtse gcig|recueillement unifié,  concentration unificatrice
rtse mo|cime
rtsod ldan|ère des conflits
rtsod pa|débat, disputation, controverse
rtsol ba'i rnal 'byor|yoga de l'effort gtum mo.
rus sbal gyi rlung|souffle de la tortue
rus sbal lta bu|stade embryonnaire semblable à une tortue
sa|terres ou niveaux
sa bcu|dix terres des bodhisattva
sa bcu drug|seize terres
sa bon|semence, germe
sa bon las byang chub|Éveil à partir des semences
sa gter|terma de la terre
sa sgrogs ris|Kaurukullika (école)
tsha tsha gdab pa'i las|action de confectionner des tsha tsha
sangs rgyas|bouddha, Éveillé
sangs rgyas dgra bcom pa|arhat bouddha
sangs rgyas kyi chos ma 'dres pa bco brgyad|dix-huit dharma spéciaux des bouddhas
sangs rgyas kyi rigs|lignée des bouddhas
sangs rgyas kyi thun mong ma yin pa'i rnam pa so drug|trente-neuf modes extraordinaires des bouddhas
sangs rgyas rjes su dran pa|commémoration du Bouddha
sangs rgyas snying po|essence de bouddha
sbyang ba'i 'pho ba|transfert de conscience d'entraînement
sbyang bya|l'objet à purifier.
sbyang byed yul|objet purificateur
sbyang byed|le principe purificateur, ce qui purifie
sbyang dka' ba|Difficile à conquérir (5eterre)
sbyangs pa'i yon tan|douze disciplines d'entraînement monastique
sbyin pa|générosité, don
sbyin pa'i pha rol tu phyin pa|générosité transcendante
sbyin sreg|offrande ou oblation au feu
sbyor ba|"1ºmise en ouvre de l'acte; 2ºsyllogisme"
sbyor ba drug|six applications
sbyor ba'i 'pho ba|transfert de conscience effectif
sbyor ba'i brtson 'grus|courage en actes
sbyor lam|voie de l'application, de la préparation ou de l'engagement
sbyor sgrol|union et libération
sde snod gsum|triple corbeille
sdigs pa'i phyag rgya|geste de menace
sdom pa|voux, abandon des actes non vertueux non encore produits
sdom pa rnam pa gsum|trois sortes de voux
sdom pa'i tshul khrims|éviter de mal agir
sdug bsnal dwang len gyi bzod pa|supporter les épreuves
sdug bsnal gyi dbang po|faculté d'éprouver la souffrance
sdug bsngal|souffrance
sdug bsngal gyi bden pa|vérité de la souffrance
sdug bsngal gyi sdug bsngal|souffrance de la souffrance
sel ba|fallacieux
sems|esprit pensant
sems bskyed|cultiver la pensée de l'Éveil
sems btsal du 'jug|s'engager dans la recherche de l'esprit
sems byung|facteurs mentaux associés, événements mentaux associés
sems can|êtres animés, êtres doués d'esprit
sems can don byed kyi tshul khrims|éthique en vue du bien de tous les êtres, faire le bien des êtres
sems can don du smon lam|vou pour le bien des êtres
sems can don grub gi ye shes|sagesse qui accomplit le bien des êtres
sems can kyi don byed kyi bsam gtan|dhyana qui accomplit effectivement le bien des êtres
sems dben|isolement de l'esprit
sems dran pa nyer gzhag|fixation de l'attention sur l'esprit
sems kyi bzhag thabs|méthode pour «placer/poser» l'esprit
sems kyi sa mang po bcu|dix bases générales de l'esprit
sems la dmigs pa'i rim pa|étape de la visualisation de l'esprit
sems nyid|nature de l'esprit
sems pa|volition, intention
sems pa'i las|karma intentionnel
sems rtse gcig pa|esprit concentré en un seul point, concentration unifiée
sems sde|série de l'esprit
sems tsam pa|rien que pensée, rien qu'esprit
seng ge nyal stabs|posture du lion couché
seng ge'i 'dug stangs|posture du lion couché
ser sna|avarice
sgo bzhi mdzod lnga|quatre portails et le trésor (bon)
sgo gsum|trois portes
sgo gsum gyi gnad|points-clés des trois portes
sgo ma bzhi|quatre gardiennes des portes
sgom lam|voie de la méditation
sgom med|non-méditation
sgom pa|méditation, "culture de l'esprit"
sgom spang|ce qui doit être abandonné au cours de la voie de la méditation
sgong skyes|naissance ovipare
sgra 'od zer gsum|sons, lumières et rayons
sgra brnyan|écho
sgra|son, musique
rol mo|son, musique
sgra'i skye mched|source des sons
sgrib pa|obscurcissements, voiles
sgrib pa spangs pa'i sems bskyed|bodhicitta libre de tout obscurcissement
sgron ma drug|les six lampes
sgrub pa|accomplissement
sgrub thabs|méthode d'accomplissement
sgrung|narrations.
sgyu 'phrul dra ba|filet d'illusion
