bsgrub pa bka' brgyad|huit préceptes transmis (Nyingma)
rdo rje lus|Le corps adamantin: c'est le corps humain, et en particulier les canaux subtils et roues de canaux, les souffles et les gouttes.
bsnyen sgrub yan lag bzhi|Les quatre branches d'approche et d'accomplissement ou phases de la méditation tantrique : approche (bsnyen pa ; asevita), familiarisation (nye bar bsnyen pa; upasevita), accomplissement (sgrub pa; pratipatti), grand accomplissement (sgrub pa chen po; mahapratipatti).
rdo rje bzhi'i gnad bcings pa|La ligature des quatre vajras : du corps, de la parole, de l'esprit, de sagesse originelle.
gnas skabs bzhi|Quatre états : veille d'une conscience ordinaire, sommeil profond, rêve et union sexuelle.
ku sha|L'herbe kusa (poa cynosuroïdes) est utilisée lors des initiations et autres cérémonies.
mi 'am ci|Centaure (mi 'am ci; "un homme ou quoi ?")- le lieu. Son nom, cependant vient sans doute des habitants, des êtres avec une tête de cheval et un corps humain (ou vice-versa). Ils étaient loués en tant que musiciens célestes, au même titre que les gandharva.
bre|Drona: une montagne dont le nom est tiré de celui d'un récipient ou seau utilisé comme unité de mesure des poids dans l'Inde ancienne, auquel cette chaîne montagneuse ressemble.
ma ga d+hA|Magadha : Ancien royaume, et à présent district de l'état du Bihar, Inde du nord, dans ce contexte Magadha est une cité. Nombre d'évènements marquants au commencement de l'histoire du bouddhisme s'y sont déroulés, notamment l'éveil du Bouddha au siège adamantin, actuellement Bodh Gaya.
rdo rje lta bu'i ting nge 'dzin|L'absorption adamantine : c'est la contemplation d'un bodhisattva de la dixième terre au terme de laquelle le parfait éveil est atteint.
yangs pa can|Vaisali : ancienne capitale de la république des Licchavi. Sur son ancien emplacement, à soixante-dix kilomètres de Patna, s'étend la ville moderne de Basarth, district de Muzaffarpur, Bihar. Important centre bouddhiste, cent ans après la mort du Bouddha s'y déroula le second concile.
mnyan yod|Sravasti : Ancienne ville fondée par le roi Sravasta durant le deuxième quart du premier millénaire avant Jésus-Christ, elle devint la capitale du royaume de Kosala situé au nord-ouest, gouverné par le roi Prasenajit, un des mécènes du Bouddha. Anathapi??ika, un riche marchand de la ville, construisit pour le Bouddha la résidence de Jetavana, lieu de séjour favori de ce dernier. Il y passa vingt-trois retraites de la saison des pluies et y délivra de nombreux discours du grand véhicule. Près de l'ancien site se trouve aujourd'hui Sahe?h-Mahe?h, à la frontière des districts de Gonda et de Bahraich, dans l'Uttar Pradesh, à quatre-vingt dix kilomètres de Ayodhya.
'khor mo 'jig |Kormo Jig : ville de l'inde ancienne
gnas bcas|Saketa, appelée aussi Ayodha, ancienne capitale du royaume du Kosala.
tsam pa ga|Campaka (moderne Bhagalpur), était la capitale de l'Anga, une région recouvrant une vaste superficie du delta du Gange ; elle incluait des parties du Bengale occidental et du Bangladesh actuels.
'jig rten dbang phyug|Le seigneur du monde : une épithète d'Avalokitesvara, le bodhisattva personnifiant la compassion, qui est le patron du Tibet.
li yul|Khotan : une ancienne cité-état d'Asie centrale, située au-delà de la chaîne du Karakorum. Autrefois un centre important du bouddhisme, elle faisait partie, aux premiers siècles de l'ère chrétienne, de l'empire Kusa??a qui s'étendait des plaines du nord de l'Inde aux oasis du désert du Takla-Makan. La cité est ensevelie sous les sables depuis des siècles près du village de Yotkan.
rnam thos sras|Vaisrava?a : le dieu des richesses.
mchod rten|Un stoupa : monument en forme de dôme couronné d'un soleil et d'une lune placés sur des anneaux concentriques.
chos rgyal rigs ldan sum cu rtsa gnyis|Les trente-deux rois du Dharma détenteurs de la lignée spirituelle "Détenteur de la lignée" est le nom général pour désigner les rois de Sambhala. Le premier à être revêtu de ce titre, Mañjusriyasas, fut intronisé par les déités de la famille vajra. Le tantra de Kalacakra mentionne vingt-cinq rois de Sambala parmi lesquels Aniruddha (ma 'gags pa), le vingt et unième, règne depuis 1927.
ka lA pa|Kalapa, "composé d'aspects", un terme qui, dans le Kalacakra, renvoie à la sagesse originelle.
go la|La sphère céleste : un mot que les Tibétains n'ont pas traduit. Il dérive de la combinaison de la première syllabe de guru, signifiant lourd, et de la première de loghama, léger. "Lourd" montre sa capacité à soutenir les cieux, "léger", celle de se mouvoir.
chu srin|Capricorne; littéralement "monstre marin" (chu srin; makara) : une créature mythique qui est probablement une synthèse idéalisée de différents animaux marins que les navigateurs et les pêcheurs indiens rencontraient au cours de leurs voyages. Sa partie inférieure est celle du dauphin, sa tête a un long museau et des cornes. Nous avons pris la liberté de traduire chu srin par Capricorne, dont la partie inférieure du corps ressemble à celle du dauphin.
stong pa drug gi nam mkha'|Le ciel aux six vides : en langage astrologique,  il indique six zéros, nagas, le nombre huit, et les yeux le nombre deux : en lisant à rebours, on a vingt-huit millions. "...dans le ciel aux six vides, les yeux des nagas voient le nombre des étoiles."
mjug ring|Ketu ("longue queue"). (voir aussi Rahu (sgra gcan, "qui éclipse"). Dans la mythologie indienne. Rahu est le démon que l'on pense responsable des éclipses en se saisissant de la lune et du soleil. Il est dit porter une queue de dragon. La légende veut que, quand les dieux eurent baratté l'océan pour en extraire le nectar d'immortalité, il se déguisa comme l'un d'eux et en but une gorgée. La lune et le soleil rapportèrent l'imposture à Vi??u, qui coupa la tête de Rahu, lequel se fixa alors dans la sphère stellaire. Devenu immortel grâce au nectar, il exerce sa vengeance sur la lune et le soleil en les engloutissant occasionnellement.Sakuntala Devi (Astrology For You, Delhi, Oriental Paperback, 1983) : "Rahu et Ketu jouent un rôle important dans l'astrologie indienne. Cependant, on se doit de mentionner qu'ils ne sont pas exactement des planètes bien que, dans l'optique de prédictions et de leurs effets évidents sur les affaires humaines, ils soient considérés comme tels dans l'astrologie indienne. Ce sont en fait  les nouds ascendants et descendants de la lune, les endroits où la lune sur son orbite coupe l'équateur céleste. Les nouds sont appelés "queue et tête du dragon".
chu tshod|Ghati ou gha?ika ("heure").
'pho ba|Un mouvement; c'est un cycle de respirations. Un grand mouvement ('pho chen), cinq cycles de petits mouvements de respirations ('pho chung), chacun constitué de trois cent soixante respirations, comporte donc mille huit cents respirations.
tshe zhag|jour lunaire
nyin zhag|jour solaire
khyim zhag|jour zodiacal (maison)
drag po 'khor lo can|Raudracakrin : le vingt-cinquième souverain de Sambhala que mentionne le tantra. Son règne débutera en 2327.
kla klo|Les barbares. Le terme désignait des peuples qui ne parlaient pas le sanskrit, des non-Aryens. Ici, "barbare" s'adresse à ceux dont la religion comporte des rites cruels et qui nient l'existence des trois joyaux. Il englobe les systèmes qui ne mènent pas à des destinées heureuses.
ke tshe|La graine rajika (sinapis ramosa) : elle mesure à peu près le tiers d'une graine de moutarde.
dbang phyug|Isvara; un nom de dieu dans l'hindouisme.
rig byed kyi mtha' gsang bar smra ba|Tenants-du-secret-final-des-Védas; Vedantavadin guhyaka, une école philosophique de l'Inde ancienne.
gtso bo|Le principe est équivalent à la substance primordiale (rang bzhin; prak?it). Le Sa??khya, ancienne philosophie indienne pour laquelle les phénomènes rentrent dans vingt-cinq catégories en fait la cause de l'environnement et des vivants. Ses partisans, continuateurs du sage Kapila, professent une vue de permanence. L'école a deux branches : théistes et non théiste, la première affirmant que le monde et ses habitants sont créés par la relation mutuelle existant entre Isvara et la substance primordiale.
chad par smra ba|Nihilistes
rnam shes tshogs drug|L'ensemble/l'agrégat des six consciences: Les cinq consciences sensorielles et la conscience mentale.
zla ba grags pa|Candrakirti (6ème siècle), né à Samanta, Inde du sud. Etudiant de Bhavaviveka et de Kamalabuddhi, un élève de Buddhapalita, il acquiert la maîtrise de l'enseignement bouddhiste, puis devient l'abbé de Nalanda (dans la province actuelle du Bihar) et le maître de ses lettrés. Il est le véritable héritier de la philosophie du milieu de Nagarjuna. Par ses visions, il entretenait une relation directe avec Mañjusri. Il possédait le pouvoir de traverser les murs et l'éloquence pour défaire ses opposants. Ses deux ouvres, les Paroles claires (tshig gsal;  prasannapada) et la Lampe éclatante (sgron gsa; pradipoddyotana), sont comparés au soleil et à la lune, illuminant les soutras et tantras. La légende dit qu'il retourna dans le sud, propagea le bouddhisme, puis se retira du monde pour pratiquer le mantra secret.
snang ba gsum|Les trois apparences; Ce sont : la lumière (snang ba, aloka), lumière croissante (mched pa; alokabhasa), et proche obtention (nyer thob; upalabdha), qui ici se présentent dans l'ordre inverse à leur séquence naturelle du moment de la mort.
rnal 'byor pa'i mig|l'oeil yogique: il s'agit de la perception visuelle d'un supérieur ou être noble ('phags pa; arya).
mi yi bdag po|Le Seigneur de l'humanité: c'est le roi Dawa Zangpo (zla ba bzang po ; sucandra) à qui le Bouddha enseigna le Kalacakra.
nur nur po |gélatine
mer mer po|forme oblongue
nya'i gnas skabs |la phase du poisson (de la formation de l'embryon)
rus sbal gyi gnas skabs|la phase de la tortue (de la formation), quand la tête et les membres se dessinent.
phag pa'i gnas skabs|La phase du sanglier (de la formation du monde)
thams cad stong pa'i 'od gsal|La claire lumière de vide total : la luminosité du macrocosme correspondant dans le microcosme à la claire lumière qui apparaît naturellement au dernier stade du processus de la mort. Si elle est reconnue, tout ce qui relie à l'existence est dissipé dans la claire lumière de la vacuité.
nyer thob|La proche obtention : la luminosité du macrocosme correspondant dans le microcosme à l'expérience de luminosité noire durant le processus de la mort, qui précède immédiatement la claire lumière.
'bar ba mched pa|L'accroissement ou lumière croissante : la luminosité du macrocosme correspondant dans le microcosme à l'expérience de luminosité rouge durant le processus de la mort, au moment où une partie de la discursivité se dissout.
'bar ba snang ba|La lumière de l'aube : la luminosité du macrocosme correspondant dans le microcosme à la lumière blanche, la première des quatre expériences au cours du processus de la mort, quand les perceptions sensorielles ont disparu et que la discursivité commence à se dissoudre. Comme ceci se rapporte au mouvement de création, l'ordre des luminosités est inversé.
mthong lam |Le sentier de vision; l'un des cinq sentiers de réalisation : accumulation, préparation, visions, méditation et non-étude, c'est-à-dire libération. Il est atteint avec la compréhension initiale non conceptuelle de la nature ultime, la vacuité des phénomènes. Les facteurs communs du sentier de vision (thun mong gi mthong spang bya) sont les passions intellectuellement formées et les obstacles grossiers à l'omniscience.
ma smin pa'i rig pa|La présence immature : elle surgit de la base mais existe sous l'aspect d'une graine, et qu'elle serve à la libération ou à l'illusion reste incertain.
dpa' bo|héros
rdo rje lu gu rgyud|Les chaînes de lumière adamantine : c'est la présence en tant qu'étendue de la réalité se manifestant sous la forme de sphères lumineuses.
'dug stangs gsum|les trois postures : du lion, digne et vigilante, de l'éléphant au repos, courbé vers l'avant, et celle du sage accroupi ; elles sont en relation avec les trois corps éveillés de réalité, d'expérience parfaite et d'émanation.
lta stangs gum|Trois regards : vers le haut, le côté, et vers le bas, en relation aussi avec les trois corps éveillés.
'dul ba bzhi'i cho 'phrul|les prodiges des quatre conversions
'gro don|le bien des vivants
'khor los sgyur ba|monarque universel, monarque à la roue
'tshang rgya|illuminé
rig pa'i ye shes|intelligence immédiate
mtshams sbyar ba|transition, préambule
'od gsal rdo rje rtse mo|le pic adamantin de claire clumière
rnying ma'i lugs|la tradition des anciens (Nyingma)
snga 'gyur gsang sngags|les enseignements/l'école des traductions anciennes
gzhung lugs|tradition scripturaire/textuelle
rdo rje 'chang|Vajradhara
gzugs sku gnyis|les deux corps de forme
gleng bslang|discours préliminaire, introduction, préface
kun tu bzang|Samantabhadra
gzhon nu bum sku|corps du vase de jouvence
nang gsal|clarté intérieure
phra ba'i ye shes|la sagesse première subtile
thim la ma rmugs|fondu/dissout sans une ombre
gdod ma'i gzhi las gzhi snang|manifestation fondamentale de la base primordiale, manifestation de la base primordiale
gdod ma'i gzhi|base primordiale
gzhi las 'phags|jaillissement/émergence (à partir) de la base
rang snang du ngo shes|reconnaître sa propre manifestation
rang byung rig pa'i ye shes|sagesse première de l'intelligence née d'elle-même
rang sar|dans sa propre condition, dans son contexte propre
chen po gsum|les trois grandeurs (renoncement -spangs pa-, réalisation -rtogs pa - esprit - sems)
'das pa'i tshul|mode transcendant
zad sa|le point de résolution
ka dag chen po|la grande pureté primordiale
gdod ma|primordial, premier, originel
shel 'od|lumière de cristal
snang gi yon tan|les qualités émergentes
stug po bkod pa|la Dense Disposition;
longs spyod rdzogs|le corps d'expérience parfaite
rigs lnga'i tshom bu|le groupe des cinq familles
rol pa chen po|le vaste déploiement, le déploiement grandiose
brtse ba'i thugs rje|la compassion aimante
'khrul pa'i 'gro|les êtres confus, illusionnés
'byung bzhi'i rdul|les particules des quatre éléments
'byung bzhi|les quatre éléments (terre, eau, feu, vent)
rdul|particules, poussière
phyag rgya'i gnas|lieux symboliques
ba spu'i khung|pore
g.yo ba|mouvements, turbulences
chen mtsho|Immense Océan, souverain des cinq familles de bouddhas
spos chu|eau parfumée
byin rlabs|grâce spirituelle
sangs rgyas kyi byin rlabs|la grâce spirituelle des éveillés
zlum po|sphérique
rtag pa rgyun gyi 'khor|cycle perpétuel et continu
'dul zhing|domaine d'influence
thog ma'i mgon po|souverain premier
'od gsal rdo rje snying po|essence adamantine de claire lumière
rang snang|apparu de soi-même, auto-apparu/manifesté
tshangs chen|Grand Brahma
kun bzang|Samantabhadra, le Tout Bon
'khrul snang|perception/apparence confuse/illusoire
gsal snang |apparence claire
dngos|concret, explicite; proprement dit
thabs mkhas|l'habileté/la compétence dans les méthodes/moyens
phul ba|offrir, présenter (des offrandes)
thugs mchog|la sublime intention
'phrul chen po|prodigieuse émanation
sangs rgyas pa'i tshul|processus d'éveil
mdzad pa'i rol pa|déploiement des actes/de l'activité
rang bzhin rnam par bkod pa|Dispodition Naturelle (nom d'un champ)
me tog mdzes pa|Fleur Resplendissante (nom d'un bouddha)
mchog tu thugs|esprit d'éveil suprême
skye ba rim brgyud|au cours des vies successives
rin chen rnam bkod|Disposition de Joyaux (nom d'une montagne)
mnyam par bzhag|équanimité méditative
skye ba rim par brgyud pa'i tshul|le mode des vies successives
nor bu'i phreng ba|guirlande de joyaux; Manavyali (une des émanations de Samantabhadra
legs sbyin|Bonne générosité; Sudatta (père de Manavyali, une émanation de Samantabhadra)
'khor lo legs par spyod pa|Roue d'Excellente Conduite (nom d'un bouddha)
glog gi 'od|Lumière de l'éclair - Vidyutprabha (père de Samapta, l'une des émanations de Samantabhadra)
dge ba'i blo gros|Intelligence Vertueuse (nom d'un bouddha)
ting nge 'dzin|absorption méditative
'khor lo'i mgon po|le Protecteur de la roue
rgyan gyi 'khor lo|La roue des ornements
rigs brgya'i 'khor lo|la roue des cent familles
rigs lnga dkyil 'khor|le mandala des cinq familles/lignées (de bouddhas)
snying thig|Sphère du coeur
rang shar|manifestation naturelle/spontanée
kun tu bzang po|Samantabhadra
rdo rje sems dpa'|Vajrasattva
rdo rje snying po|Vajragarbha
dbang phyug|puissant; Isvara
lam rim|voie progressive
sangs rgyas gsang ba|Buddhaguhya
lhun rdzogs rig pa|présence éveillée spontanément parfaite
zhag bdun phrag bdun|quarante-neuf jours
nyan thos kyi sde snod|la collection (la corbeille) des auditeurs
bye brag tu smra ba|Les particularistes (Vaibha?ika)
bgrod pa gcig|le cheminement/véhicule unique
'jigs lta|la vue des agrégats transitoires
brtson 'grus drag po|intense application
bsdu ba bzhi|les quatre attractions
bskal pa|âge, ère
bslab pa'i gzhi lnga|cinq preceptes de base de l'entraînement
bsod nams dang ye shes kyi tshogs gnyis|double accumulation de mérite et de sagesse
bya'i chos|les pratiques
byang chub 'dzin|perception de l'éveil
byang phyogs so bdun|les trente-sept auxiliaires de l'éveil
bzhed pa|affirmer, poser, soutenir
chags bcas yan lag|facteurs secondaires de l'attachement
chos don|les affaires religieuses
chos kyi mdo bzhi|les quatre sceaux du Dharma
dbang brtul|faibles facultés
dbang rnon|facultés aiguisées
dgongs gzhi|intention, intention première, base intentionnelle
don dam|sens ultime
'dun par bya ba|susciter l'intérêt
dus gcig la dus du ma|unité et multiplicité temporelle
gdul bya|les êtres à discipliner/éduquer
gdul zhing snod bcud kyi 'jig rten|L'univers, l'habitacle et les habitants à discipliner
grangs kyi rnam grangs|calcul
gzungs spobs|rétention et éloquence
khyad par 'gro ba|progression spécifique
klog tshul|mode d'interprétation
las phran|les actes mineurs
lha yul sa|terre des domaines divins
lhag pa'i bsam pa|motivation altruiste (une des 80 vertus inépuisables des bodhisattvas); motivation supérieure
mdzad pa bcu gnyis|les douze actes (du Bouddha)
me'i shing rta'i dmyal ba|l'enfer du Chariot de feu
mngon shes lnga|les cinq connaissances/pouvoirs extraordinaires
mngon sum du bsnyen|service effectif/réel
mtshan bzang|les marques [d'un bouddha]
mun bskal|âge sombre
nyan thos kyi 'dod pa|la position des auditeurs
pad ma stong mthong gi bskal pa bzang po|âge fortuné de la vision des mille lotus
phal chen sde pa|l'école majoritaire (mahasa?ghika)
rgya cher bshad pa|Développement (exposé détaillé)
skye gnas bzhi|quatre modes/formes de naissance
dge ba|vertu, vertueux
snag|encre
?'bras bu'i gtan tshigs|raison de l'effet
'brel zla ma dmigs pa'i gtan tshigs|signe de non-perception de la contrepartie [du prédicat de l'objet de négation]
kyi dbang po|seigneur des .
bag chags|imprégnation
bcom ldan 'das|Victorieux
bdag po'i 'bras bu|effet dominant
bdag rkyen|condition dominante
bde bar gshegs pa'i snying po|cour des bien-allés
bde gshegs snying po|essence d'un allé en la joie
bden 'dzin|saisie d'une existence réelle
bden pa'i du ma|vraie pluralité
bden pa'i gcig|vraie unité
bdud|démon (Mara)
bras bu|effet
brjod du med pa'i bdag|soi inexplicable
brtags pa|l'imaginaire
btags pa|l'imaginaire
brtson 'grus|persévérance
brtson 'grus|persévérance
bsam gtan|recueillement
bsam gtan|méditation
bsgrub bya|objet à prouver
bsgrubs bya|prédicat
bsgrubs par bya ba mi mthun phyogs|ensemble incompatible avec le prédicat
bskyed rim|phase de génération (création)
btags|désigné
btags pa tsam|simple désignation
btags yod|existence nominale
bya grub pa'i ye shes|sagesse originelle de l'accomplissement des activités
byed pa rgyu mthun|action qui ressemble à sa cause
byed rgyu|cause productrice
byis pa|être puéril/les puérils
bzlog|renversement
bzod pa|"acceptation ; résister"
mi bzod pa|ne pas résister
cang med|néant
chad mtha'|extrême du nihilisme
ched kyis|volontairement
ched tu brjod pa|intentionnel
chos bzod|acquiescement des phénomènes
chos can|"sujet ; étant donné"
chos dbyings|"domaine des qualités ; dimension du réel"
chos dbyings kyi ye shes|sagesse originelle du domaine de la réalité
chos mchog|suprêmes qualités
chos nyid|"nature des phénomènes, vraie nature ; ainsité"
chos shes|connaissance des phénomènes
chos sku|corps de réalité
cung zad dpyad pa|l'analyse de surface
dam bca'|thèse
dam pa|"authentique ; admirable, sublime"
dbang po'i mngon sum|percepton directe sensorielle
dben pa|dénué
de bzhin nyid|telleité
de me thag rkyen|condition immédiatement précédente
dgag|cessation
dgag bya|objet de réfutation
dgag bya chad|annihilation de l'objet de réfutation
dgag pa 'god pa|présentation d'une réfutation
dgag rtags|preuve négative, signes de négation
dge ba'i chos sdud pa'i tshul khrims|l'éthique du rassemblement des qualités vertueuses
dge ba'i las|acte vertueux
dge slong|ordination majeure
dge tshul|ordination mineure
dgra bcom|destructeur de l'ennemi
dka' 'grel|commentaire sur les difficultés
dmigs gtad|point de référence
dmigs pa|objectif
dmigs rkyen|condition objective
dmigs yul|objet d'observation
dngos po|objet
dngos po gnas lugs|le mode d'être des choses
dngos po stobs zhugs kyi gtan tshigs|raison qui opère par la force d'entités réelles
dngos po'i mtshan nyid|caractéristique des choses
dngos por zhen|adhésion à une existence réelle
dngos stobs kyis grub pa|établissement par la force d'entités réelles
dngos su grags|notoire, consensus
dod chags|désir
don byed nus pa|capacité d'accomplir/effectuer/opérer une fonction
don dam dngos nyid|ultime véritable
don dam pa dngos nyid|ultime véritable
don dam bden pa|vérité ultime
don dam dang mthun pa'i don dam|ultime concordant
don dam rnam par nges pa'i dbu ma pa|tenants-du-milieu-déterminant-l'ultime
don gcig pa dang tha dad pa|l'identité et la différence
don la grub pa|existence ultime
don med|inutile
don sgrub pa|preuve par les faits
dpe'i ye shes|sagesse originelle analogique
dri|odeur
dri bcas|taché, maculé
dri bcas kyi skabs|"phase contaminée ; phase tachée"
dri med|sans tache, immaculé
drod|chaleur
'dul ba|la discipline
'dus byas|composé
'dus ma byas|incomposé
gal ba brjod pa'i thal 'gyur|conséquence qui expose des contradictions
gal zla dmigs pa'i gtan tshigs|signe de perception du contraire [du prédicat de l'objet de négation]
gcig dang du bral|[raisonnement] du ni-un-ni-multiple
gdod ma nas|de toute origine
glo bur|adventice
gnas dang gnas ma yin mkhyen pa'i stobs|"la force de la connaissance de ce qui est fondé et infondé ; approprié et inapproprié"
gnas 'gyur|transformation de la base/ transformation
gog|cessation
gog pa'i bden pa|la vérité de la cessation
'grel bshad|commentaire
gro 'ong|l'allée et la venue
gsal snang|apparence claire
gsung rab|écrits
gtan la dbab pa|détermination (pas établissement)
gti mug|égarement (confusion)
gtsang gnas bzhi|quatre lieux purs
gtso bo|"principe ; substrat primordial"
gyur ba'i sdug bsngal|souffrance du changement
gzhal bya|L'objet de compréhension
gzhan dbang|dépendant
gzhan la grags pa'i rjes dpag|l'inférence reconnue par autrui
gzhan stong|vide d'autre
gzhi gnas|calme
gzhis lugs|état fondamental
gzugs|forme
gzugs med khams|domaine du sans-forme
gzung 'dzin gnyis snang|l'apparence duelle appréhendant/appréhendé
gzung du yod pa|perceptible
gzung 'dzin|"appréhendé & appréhendant/d'appréhension; connu et connaissant ; préhensible et préhension"
khams|domaine
khams|élément
khor gsum|trois cercles / trois sphères
'khrul ngor|Du point de vue/sous l'angle de l'erreur/ de la méprise
khrul pa|erroné
khyab bya|ce qui est inclus
khyab byed|ce qui inclut
khyab pa|implication
khyab par 'du byed gyi sdug bsngal|souffrance des composants
khyad par 'phags pa|élevation
kun brtags|imaginaire
kun 'byung gi bden pa|la vérité de l'origine
kun 'gro|omni pénétrant
kun 'gro'i rgyu|cause omniprésente
kun gzhi|base de tout
kun khyab|omniprésent
kun nas nyon mongs pa|contaminé (phénomène associé aux passions)
kun rdzob bdan pa|vérité relative
kun rtog|imagination
lam gyi bden pa|la vérité du chemin
las|acte
ldan min 'du byed|formations dissociées
ldog khyab|implication négative
ldog pa'i khyab|implication négative
ldog pa|opposé
legs par dpyad pa|excellente analyse
len pa'i rnam shes|conscience appropriatrice
lhag bcas|"avec résidu ; avec reste"
lhag med|"sans résidu ; sans reste"
lhag mthong|vision pénétrante
lhag pa'i sems kyi bslab pa|apprentissage à la concentration supérieur
lhan cig 'byung ba'i rgyu|cause coémergente
lhan cig skyes pa|inné
log pa|erroné
log pa'i kun rdzob|relatif faux
longs spyod rdzogs|expérience parfaite
longs spyod rdzogs pa'i sku|corps de parfaite jouissance/d'expérience parfaite
lugs 'byung|ordre de déploiement
lugs ldog|ordre de neutralisation
lus kyi las|acte corporel
ma brtags ma dpyad|l'absence d'examen et d'analyse
ma dmigs pa'i gtan tshig|raison de non-observation
ma 'dres pa bco brgyad|18 qualités exclusives
ma rig bag chags kyi sa|terre avec les imprégnations de l'ignorance
ma rig pa|ignorance
ma rig pa'i bag chags|tendances habituelles de l'ignorance
ma yin dgag|"négation affirmative ; négation déterminée"
man ngag|instruction essentielle
me long lta bu'i ye shes|sagesse originelle semblable au miroir
med|inexistence
med dgag|"négation non affirmative ; négation absolue"
mi dge ba'i las|acte non vertueux
mi g.yo ba'i las|acte inaltérable
mi 'jugs pa|intrépidité
mi mthun phyogs|ensemble incompatible
mi rigs|intenable
mi skye shes pa|connaissance de leur non-réapparition
mi slob pa'i lam|sentier de la non-étude
mi srid pa|impossibilité
mig rab rib|vue troublée par des corps flottants
ming don|mot et son référent
ming gi rnam grangs|synonyme
mngon pa chos|phénoménologie / abhidharma
mngon par gsal ba|perceptible
mngon rtogs|réalisation manifeste
mnyam gzhag|équilibre méditatif
mnyam gzhag|méditation, égalité meditative
mnyam par gzhag pa|méditation, égalité meditative
mnyam nyid ye shes|sagesse originelle de l'égalité
mos spyos|pratique d'aspiration
mthar phyin|complétude
mthong ba rdzun pa|vision fausse
mthong ba yang dag pa|vision juste
mthong lam|sentier de la vision
mthun pa'i dpe|exemples compatibles avec le prédicat
mtshams med lnga|"cinq actes sans limite ; cinq actes immédiats"
mtshan gzhi|"base de la définition ; example de caractéristique ; base de caractère"
mtshan gzhi|illustration
mtshan gzhi|illustration
mtshan ma|attribut
mtshan ma med pa|absence de signe
mtshan ma'i spros pa|proliférations des signes
mtshan nyid|signifiant
mtshan nyid|définition
mtshan nyid gsum|trois caractéristiques
mtshan nyid med pa|porte de l'absence de signes
mtshon bya|signifié
mtshung ldan gyi rgyu|cause concomitante
mu bzhi skye 'gog|réfutation de la production à partir des quatre possibilités
mu stegs pa|passeurs
myong ba rgyu mthun|expérience qui ressemble à sa cause
nang 'gal|contradiction interne
ngag gi las|acte verbal
nges byed|déterminant
nges legs|bien définitif
ngo bo|essence
ngo bo nyid|nature propre
ngo bo nyid kyis grub pa|établis selon leur propre essence
ngo bo nyid sku|corps de nature
nus pa|efficacité
nye ba'i mtshams med lnga|"cinq actes secondaires sans limite ; cinq actes presque immédiats"
nyes pa|erreur
nyon sgrib|voile des passions
od gsal|"luminosité ; claire lumière"
pa rol tu phyin pa|perfection
phar phyin|perfection
'phags pa|élevé
phan tshun spangs 'gal|exclusion mutuelle
'phen byed|propulsion (//karma)
phung po|agrégat
phyi nang gi dngos po|entités extérieures et intérieures
phyir mi 'ong|non retour
phyir 'ong|retour unique
phyogs chos|la propriété du sujet
rang bzhin|nature
rang bzhin gsum|trois natures
rang bzhin gyi gtan tshigs|raison de nature
rang rgyal|vainqueur solitaire
rang rgyud la grub pa|établir de manière autonome
rang rig|"perception directe d'auto-connaissance/ connaissance se connaissant elle-même/ connaissance individuelle ; perception réflexive"
rang rig gi mngon sum|perception réflexive directe
rang rig rang gsal|la connaissance] qui se connaît et s'illumine elle même
rang sangs rgyas|bouddha solitaire
rang stong|vide de soi
rdo rje gzegs ma|les éclats de diamant
rdzas su grub|établissement substantiel
rdzas su yod|existence substantielle
rdzogs byed|achèvement
rdzogs rim|phase de perfection
rdzun pa|faux
re zhig|temporaire
reg bya|tangible
res dga'|occasionnellement
rgol pa|protagoniste
rgya cher bshad pa|Explication développée
rgyu mthun gyi 'bras bu|effet semblable à la cause
rgyu mtshan mtshungs pa'i mgo snyoms|l'application analogue de la raison [de l'adversaire]
rgyu'i rkyen|condition causale
rgyun|cause
rgyun zhugs|entrée dans le courant
rig pa|connaissance éveillé
rigs chad|"rupture de la lignée spirituelle ; potentiel interrompu"
rigs ngor|D'un point de vue/sous l'angle rationnel / du raisonnement/ logiquement
rigs pa|logique, raisonnement
rigs pa'i rnam par dpyad pa|la dialectique
rigs pa'i rtags|raison logique
rigs pas dpyad mi bzod pa|ne pas résister à l'analyse
rigs tshogs|collection dialectique
ril 'dzin|"totale appréhension ; appréhension du tout"
rje btsun|vénérable
rjes 'brang|successeur
rjes bzod|ascquiescement consécutif
rjes dpag|inférence
rjes dpag tshad ma|cognition valide d'inférence
rjes gzhig|"dissolution subséquente ; destruction progressive"
rjes shes|connaissance consécutive
rjes thob|obtention subséquente
rnal 'byor mngon sum|perception directe yogique
rnam grangs ma yin pa'i don dam|ultime non nominal
rnam bcad|négation
rnam bdun shing rta'i rigs pa|septuple examen du char
rnam gcod|exclusion
rnam gcod|exclure
rnam grangs|énumération
rnam grangs pa'i don dam|ultime nominal
rnam 'gyur|transformation
rnam par byang ba|purifié (phénomène associé à la purification)
rnam par mi rtog pa'i ye shes|sagesse originelle non conceptuelle
rnam par thar pa'i sgo|porte de la libération
rnam smin gyi 'bras bu|le fruit de maturation
rnam smin gyi rgyu|cause de maturation (de rétribution
rnam thar sgo gsum|trois portes de la libération
ro|saveur
rtag chad|"permanence et anéantissement ; permanence et annihilation"
rtag chad|la permanence et l'annihilation
rtags|signe, raison
rtags|raison, raisonnement, signe
rtags sgrub pa|démonstration
rten 'brel|production dépendante/ production en dépendance
rten 'brel|production interdépendante/interdépendance
