Tibétain,Sanskrit,Anglais,Sens racine Français,Autres termes rencontrés,Definition,Ordre alpha tib
bde drod,,,"la ‘félicité-chaleur’, chaleur-félicité",,,
bde phril,,,"une expérience de félicité qui vous fait 
complètement frémir",,,
bde ba,,,"sukha, félicité, bonheur 
sensation de plaisir, béatitude, suprême béatitude",,,
"bde ba chen po, bde chen",,,"mahâsukha, grande félicité 
(état de) suprême félicité",,,
bde ba’i nyams,,,expérience de félicité,,,
"bde gshegs, 
bde bar gshegs pa",,,"sugata, Parti en la félicité, Celui qui s’en est allé dans la félicité 
Bienheureux",,,
bde sang nge,,,le bonheur d’une transparence pure et ouverte,,,
bden pa gnyis,,,"les deux réalités, les deux vérités",,,
bden pa mthong ba,,,"voir la réalité, voir la vérité",,,
bden med,,,"l’irréalité 
sans réalité, sans existence réelle",,,
bden med yo lang,,,"le jeu de l’irréalité 
le jeu continuel et sans obstruction de l’irréalité, le jeu du sans existence réelle",,,
mdangs,,,"la brillance, lustre, teint radieux",,,
mda’ yab,,,"une galerie, parapet, couverture de mur",,,
"mda’ srong gi 
mig",,,‘l’œil droit comme la flèche’,,,
"mdo, 
mdo lugs",,,"sûtras, les discours (du Bouddha) ; 
tradition des sûtras, système des sûtras",,,
mdo sde spyod pa’i dbu ma,,,sautrantika madhyamika,,,
‘das rjes,,,"Testament
enseignement posthume",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
‘du byed,,,"samskâras, les facteurs formateurs (notre conscience est structurée, informée, mise en forme par eux) 
formations karmiques, impulsions",,,
‘du byed kyi las,,,"activités des samskâras 
activités des facteurs formateurs, karma engendré par les facteurs formateurs",,,
"‘du bral med pa, ‘du ‘bral med pa",,,"transcendant l’union comme la séparation qui ne se forme puis se désintègre, sans union ni séparation (d’avec), qui ne se rassemble ni ne se disperse",,,
‘dun pa,,,"la ferme intention 
ferme aspiration, ardent désir (de)",,,
‘dul ba,,,"vinaya, discipline (monastique) 
ordonnances monastiques",,,
‘dus byas thams cad mi rtag pa’o,,,tout ce qui est composé est transitoire et impermanent,,,
"‘dus ma byas 
(pa)",,,"la non composition, n’est pas chose composée, non composée",,,
"‘dod yon gyis 
snam bu",,,grandes banderoles des gratifications sensorielles,,,
‘dren pa’i bla ma,,,"Lama qui guide (sur la voie) 
mentor, guide spirituel",,,
"rdo kra ma 
shIrsha",,,pierres marbrées,,,
rdo rje,,,"vajra, diamant, adamantin 
indestructible réalité",,,
rdo rje theg pa,,,"vajrayâna, voie vajra, véhicule adamantin",,,
rdo rje gdan,,,"Vajrâsana, Bodhgaya, siège vajra, le Siège de diamant 
siège adamantin, trône adamantin (de l’éveil)",,,
rdo rje ‘dzin pa chen po,,,"Grand Détenteur du Vajra, Grand Vajradhâra grand détenteur de l’indestructible réalité",,,
rdo rje zam pa,,,"le Pont Vajra 
(enseignement de la collection de l’Espace)",,,
"rdo rje lu gu 
rgyud",,,"chaînettes vajra, littéralement ‘file de moutons’, 
‘files de moutons’ vajra",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
rdo rje slob dpon,,,"Vajrâcharya, maître vajra",,,
rdo rje sems dpa’,,,"Vajrasattva, le vaillant adamantin, l’être adamantin, la vaillance de la pureté primordiale, (il est) la personne adamantine, personnification de l’alpha pur (voir aussi n143) 
Vaillant à l’esprit adamantin, Vaillant Esprit Adamantin",,,
"sdod pa gsum 
gyis tshad gzung",,,les trois repos à demeure en lesquels est appréhendé l’état véritable,,,
"brda, 
brda’",,,"symbole, signe",,,
brda brgyud,,,"transmission par symboles 
lignée symbolique, lignée des signes mystiques (des Vidyâdharas)",,,
brda chad,,,"les signifiants 
désignations",,,
brda bzhi,,,"les quatre signes 
(dans la pratique de la collection de l’Espace)",,,
,,,,,,
NA,,,,,,
nang,,,"intérieur, interne 
aspect intérieur",,,
nang gi dbyings rig,,,intelligence immédiate de l’immensité interne,,,
nang gi bla ma,,,Lama intérieur,,,
nang rgyud,,,tantras intérieurs,,,
nang rtog,,,pensées internes,,,
"nang dbyings, 
nang gi dbyings",,,l’immensité interne,,,
nang ‘od,,,"lumière interne, lumière intérieure",,,
nang gsal,,,"luminosité interne, clarté intérieure",,,
nam mkha’,,,"âkâsha, ciel, espace 
l’élément espace",,,
"nam mkha’ la 
zur mig hril gyis",,,"devant soi, en une vision panoramique globale de l’espace, (à la hauteur de) l’espace devant l’on contemple avec un regard en coin, les yeux béants",,,
nar nar babs pa,,,s’écouler en un filament,,,
,,,,,,
,,,,,,
,,,,,,
gnad,,,"point particulier, (pratique) essentielle 
point clé, point essentiel, point crucial, point vital",,,
"gnad bkrol, 
gnad kun bkrol ba, 
gnad du bkrol ba",,,"révéler le point essentiel, le point clé ayant été mis au jour ; 
révéler le point clé dans son intégralité ; révéler au sein du point essentiel",,,
gnad gcig po,,,unique point essentiel,,,
gnad du brdeg pa,,,"frapper le point essentiel 
toucher le point clé, percuter le point crucial, atteindre au point vital",,,
gnad don,,,"le sens réel du point essentiel, le véritable point essentiel 
le point crucial ultime, le vrai point clé",,,
gnad ma nor ba,,,"le point essentiel sans erreur 
point crucial indubitable",,,
gnad yig,,,écrits sur les points essentiels,,,
gnad gsum ldan pa’i lta ba,,,la vue dotée des trois points essentiels,,,
gnas,,,"theme, sujet",,,
gnas pa,,,"se reposer 
demeurer, rester (immobile, calme, tranquille, sans bouger), état calme, être établi",,,
gnas ‘phro,,,"au repos ou dispersé, immobile ou éparpillé immobilité (à demeure) et projections, repos (tranquille) et émissions, sans bouger ou bien diffus, au repos ou prolixe, à demeure ou éparses, calme ou dissipé",,,
"gnas med, 
gnas med pa, 
gnas pa med pa, mi gnas, 
mi gnas pa, 
gnas sa med",,,"la non-demeure, non-résidence (de l’esprit) ; 
qui ne demeure nulle part, le sans demeure ; (les pensées) qui nulle part ne demeurent",,,
gnas tshul,,,"façon d’être, manière (ou mode) d’être 
état, disposition, condition, situation",,,
"gnas lugs, 
sems kyi gnas lugs",,,"(profond) état (naturel), état fondamental ; le sens de l’esprit, disposition essentielle de l’esprit 
condition naturelle, mode d’être",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
gnas lugs ji lta ba gzigs pa’i ye shes,,,"l’intelligence première qui voit l’état naturel tel qu’il est 
la prime expérience qui perçoit directement le sens de l’esprit, la cognition primordiale qui expérimente (ou vit, distingue, contemple, constate) directement l’état fondamental",,,
rna brgyud,,,"lignée de (bouche à) oreille, transmission orale lignée murmurée (à l’oreille)",,,
"rnam rtog, 
rnam par rtog pa",,,"vikalpa, penser duel, dualiste 
concepts, conception, pensées discursives, pensées dualistes, pensées",,,
rnam rtog grol,,,"libérer le penser duel 
libération de la pensée dualiste",,,
"rnam rtog ngo 
shes pa",,,reconnaître les pensées (duelles),,,
"rnam rtog med pa, 
rnam par mi rtog pa",,,"nirvikalpa, l’absence de penser duel, le non penser duel 
sans pensées discursives, sans concepts, sans conception, absence de pensées dualistes, sans pensées",,,
rnam pa thams cad pa,,,"contenant tous aspects, l’aspect de tous les phénomènes",,,
"rnam par dag 
pa’i sgron ma",,,la luminosité parfaitement pure,,,
"rnam shes, 
rnam par shes pa",,,"vijñâna, conscience (duelle), cognition dualiste, connaissance de (quelque chose), expérience duelle (voir n100)",,,
"rnal du dbab pa, rnal du dbabs pa",,,"repos en l’état naturel, l’arrivée en l’état naturel laisser tomber en l’être authentique, tomber en l’authenticité, laisser choir en l’état naturel, doucement tomber en l’état d’être naturel",,,
"rnal ‘byor, 
rnal du ‘byor ba",,,"yoga, union à l’état naturel, unification 
immersion en l’état d’être authentique (ou naturel), union",,,
"rnal ‘byor gyi 
rgyud",,,"yogatantra, ‘Tantra de l’union’ (une véritable union de soi et de la déité)",,,
,,,,,,
,,,,,,
,,,,,,
"rnal ‘byor gyi 
rgyud kyi theg pa",,,"yogatantrayâna, véhicule du Yoga Tantra",,,
rnal ‘byor chen po,,,"mahâyoga, ‘Grand yoga’",,,
"rnal ‘byor chen po’i rgyud kyi 
theg pa",,,"mahâyogatantrayâna, véhicule du Mahâyoga",,,
"rnal ‘byor pa, 
rnal ‘byor ma",,,"yogi, pratiquant (du yoga) 
ceux immergés en l’état d’être naturel (ou authentique) ; 
yoginî, pratiquante (du yoga) 
celles immergées en l’état d’être naturel (ou authentique)",,,
rnal ‘byor spyod pa,,,"yogachara, yogacharin, ‘pratiquant de l’union’ ‘ceux qui pratiquent le yoga’, expériencialiste",,,
rnal ‘byor spyod pa’i dbu ma,,,"Yogachara madhyamika, adeptes de la ‘pratique du yoga de la voie du milieu’",,,
rnal ‘byor bzhi,,,"les quatre yogas 
(états dans la pratique de la collection de l’Esprit)",,,
rnal ‘byor lam,,,"la voie du yoga, la voie des yogis",,,
rnal ma,,,"authentique, naturel, l’état naturel",,,
"rnal bzhag chen po, 
rnal gzhag chen po",,,"la grande aise naturelle, l’aise naturelle suprême, le grand ‘demeurer naturellement’ 
le grand ‘rester à demeure en l’état naturel’, le grand état de repos naturel, le grand laisser être naturel, grande suspension impassible (ou impavide) en le naturel de l’être (ou le repos naturel), le grand repos dans la condition authentique, totalement établi en l’état naturel, le grand état naturel du repos à demeure",,,
sna tshogs,,,"varié, diversité 
multiplicité, bigarré, divers, toutes sortes de, myriades",,,
"sna tshogs rdo 
rje",,,"vishvavajra, double vajra 
vajra multiple",,,
snang ‘char tshul,,,"le mode d’apparition des choses 
la façon dont les apparences s’élèvent (ou se présentent, s’expriment, se manifestent, se révèlent, jaillissent, surgissent, se montrent, émergent)",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
snang stong,,,"apparence vide 
phénomènes apparents et vacuité",,,
"snang stong 
dbyer med",,,"apparence vide non deux, apparence vide indissociable 
l’inséparabilité des apparences et de la vacuité",,,
snang ba,,,"les apparences, l’apparence de clarté, les manifestations, les clartés apparentes, la claire apparence, la clarté de l’apparent 
vision, apparaître, se manifester, être visible, l’aspect manifeste de, phénomènes apparents, perception",,,
"snang ba rgya 
yan",,,les apparences s’élèvent librement,,,
"snang ba ‘dar 
‘phring med par sdod pas zhing 
khams tshad la phebs par byed",,,"les apparences à demeure, sans fluctuation, amènent la perfection des domaines purs",,,
"snang ba bzhi, 
snang bzhi, 
snang ba rnam pa bzhi",,,"les quatre visions (énumération voir n127), les quatre luminosités, les quatre apparences de clarté, l’apparent, les quatre étapes de luminosité",,,
snang ba’i ‘char cha,,,l’apparition des clartés émergentes,,,
snang sems,,,"les apparences-esprit, ce qui apparaît à l’esprit",,,
"snang srid, 
snang zhing srid pa(‘i chos), 
snang tshad srid tshad, 
= ‘jig rten, 
= snod bcud",,,"toute possibilité d’apparence, le monde phénoménal apparent 
le monde phénoménal de tous les possibles, les apparences phénoménales constituant le monde manifeste, le monde des apparences et de tous les possibles ; 
= le monde périssable 
notre monde ce support dégradable (ou éphémère), le monde ; 
= habitacle-habitant, le monde et les vivants l’univers",,,
snang srid ‘khor,,,le monde des apparences phénoménales que ce,,,
,,,,,,
,,,,,,
,,,,,,
‘das,,,"soit du samsâra ou du nirvâna 
le monde manifeste – qu’il soit samsâra ou nirvâna",,,
"snang yul, 
snang ba’i yul, 
yul snang, 
yul snang chos 
kun",,,"les objets (d’un monde extérieur) apparaissent objets apparents, objets qui se manifestent ; tous les phénomènes se manifestant comme objects",,,
snam bu,,,les tissus,,,
,,,,,,
PA,,,,,,
dpal,,,"shri, glorieux, gloire, abondant, splendide splendeur, valeur, magnificence, prestige, panache, faste, apparat, succès, éclat",,,
dpe,,,"exemple, métaphore, allégorie",,,
dpe don mthun par,,,"la métaphore en harmonie avec son sens profond exemple et signification concordant (ou en conformité, correspondant, en synchronie, qui coïncident), l’exemple et sa signification sous jacente étant en harmonie",,,
dpe ris,,,"livre d’illustrations 
diagramme dessiné (dans un livre)",,,
dpe’i ye shes,,,"gnose analogique, gnose signifiée au moyen d’exemples 
expérience primordiale imagée (analogique, figurée, métaphorique, allégorique)",,,
"dpyad pa, 
dpyod pa",,,"vicâra, analysé, raisonnement, investigation (analytique) ; 
analyse, analyser, examiner, investiguer (analytiquement)",,,
"spang blang med pa, 
spong len med 
pa, 
spang blang mi bya, 
spangs thob med pa, 
spang blang bral thob med",,,"sans rejet ni saisie 
sans attachement ni aversion, sans rejeter ni accepter, sans réactions basées sur (des distinctions de mieux ou de pire) ; 
sans fuir ni suivre (l’émotion) ; 
sans renoncement ni obtention ; 
sans rejet, saisie, perte ni gain",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
spong lam,,,la voie du renoncement,,,
spyan lnga,,,les cinq yeux,,,
spyi ‘byams,,,"1.habitudes irrégulières (dans la méditation) 2.universel, continuel, tout englobant",,,
spyi ‘byams gshis shor,,,s’écarter de l’état fondamental à cause d’un manque d’habitude dans la familiarisation s’éloigner de l’état fondamental à cause de mauvaises habitudes (irrégularité),,,
spyi mes chen po,,,le grand ancêtre universel,,,
spyi gzhi,,,"le fond global, le fond commun 
la base générale",,,
"spyi’i rnam 
bzhag",,,les différents modes généraux de présentation,,,
spyod pa,,,"caryâ, activité, conduite, action, comportement",,,
spyod pa’i rgyud spyod rgyud,,,"charyâtantra, ‘tantra des activités’, ‘tantra de l’action’, ‘tantra du comportement’",,,
spyod pa’i rgyud kyi theg pa,,,"charyâtantrayâna, véhicule du Charyâtantra",,,
spyod yul,,,"domaine d’activité, domaine d’expérience, dimension de l’expérience 
sphère d’action, domaine d’agissement, l’étendu (ou l’envergure, la portée) des activités des sens, champ d’action, champ d’activité, le domaine d’action ‘finie’ (contrairement à ‘infini’)",,,
sprin,,,nuage (signe de claire lumière),,,
sprul sku,,,"nirmânakâya, corps de manifestation, corps d’émanation",,,
sprul bsgyur,,,"manifester (quelque chose, au cours du rêve) apparitions et transformation (du yoga du rêve), déploiement émané (ou manifesté)",,,
sprul pa,,,"nirmita, émanation, projection",,,
spros bcas,,,(l’initiation) élaborée,,,
spros pa,,,"prapañca, les fabrications 
projection, élaboration (mentale), émanation, conception, émission, activité (mentale) multiple",,,
spros pa can,,,(les pratiquants) aimant les fabrications ceux enclins aux élaborations conceptuelles,,,
,,,,,,
,,,,,,
,,,,,,
spros med,,,"aprapañca, (l’initiation) sans élaboration",,,
"spros bral, 
spros dang bral ba, 
spros pa dang 
bral ba",,,"nisprapañca, libre de toute conception, libre d’élaborations conceptuelles, libre de toutes les déterminations, l’état sans élaboration, l’état transcendant toutes conceptions, l’état 
transcendant les élaborations, (la réalité) aconceptuelle",,,
,,,,,,
PHA,,,,,,
pha gu,,,pendentifs,,,
phan,,,"oriflamme, bannière",,,
"phar phyin, 
pha rol tu phyin pa",,,"pâramitâ, perfection 
‘allé au-delà’, ‘parti sur l’autre rive’, ‘passé sur l’autre rive’",,,
"phar phyin drug, pha rol tu phyin pa drug",,,"les six perfections, les six pâramitâs",,,
"phu kyi sba skor, sba phu",,,"spirales d’un bouclier de jonc ; 
bouclier de joncs",,,
phung po,,,"les constituants de l’expérience cognitive, les constituants",,,
"phun tshogs, 
phun sum tshogs pa",,,"sublime, tout parfait 
faste, abondant, suprême",,,
phyag rgya,,,"1. mudrâ, geste, symbole, sceau, forme symbolique 
2. parèdre, partenaire",,,
"phyag chen, 
phyag rgya chen po",,,"mahâmudrâ, immense union, la Grande Union",,,
"phyag rdor, 
phyag na rdo rje",,,"Vajrapâni, Diamant au Poing 
Maître au Diamant, Diamant en Main",,,
"phyam gdal, 
phyam brdal",,,"équilibre, unité englobante 
demeurer en égalité",,,
phyam gnas,,,"d’esprit égal, équilibré, rester en équilibre avec un esprit d’aplomb, avec un esprit pondéré, demeurer équanime, homogénéité",,,
"phyam lhod,",,,"équanime et détendu, rester tout équilibré et",,,
,,,,,,
,,,,,,
,,,,,,
phyam gnas lhod de,,,"relaxé 
tout d’équilibre dans la relaxation",,,
"phyam phyal, 
= phyal ba",,,"ouverture totale, ouverture ; 
= omniprésent, ouverture 
commun",,,
phyam me,,,égal et équanime,,,
"phyal yas, 
phyal bar yas",,,"ouverture expansive, expansivité ouverte ; expansion dans l’ouvert",,,
phyi,,,"externe, extérieur, aspect extérieur",,,
"phyi nang med pa(r), 
phyi nang gzung ‘dzin med pa",,,"sans extérieur ni intérieur, sans dehors ni dedans ; sans objet extérieur saisi ni sujet intérieur saisisseur 
n’impliquant aucune perception d’objet au-dehors ni de sujet au-dedans, n’impliquant aucune saisie duelle extérieur-intérieur, sans saisie sujet-objet dehors ou dedans",,,
"phyi nang yul 
sems",,,objets au-dehors et esprit en-dedans,,,
phyi rgyud,,,tantras externes,,,
phyi dar,,,la diffusion ultérieure du Dharma (au Tibet) la deuxième diffusion (ou propagation) du Dharma (au Tibet),,,
phyi snang,,,"apparences externes 
perceptions au-dehors",,,
phyi ‘phreng,,,guirlandes extérieures,,,
phyi’i dbyings,,,"l’immensité externe 
l’espace externe, la dimension externe",,,
phyi’i bla ma,,,le Lama extérieur,,,
phyogs ‘byams,,,état panoramique,,,
phyogs med,,,"n’est pas défini par des extrêmes, n’a pas de nature spécifique 
ne connaît la division (telle que dessus ou dessous), n’implique aucune séparation directionnelle, sans orientation, impartial, sans parti pris, sans préférence",,,
phyogs zhen,,,"ceux tournés (ou orientés) vers les approches inférieures, ceux qu’attirent les approches inférieures",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
phyogs ris,,,"orientations 
tout extrême ou parti pris",,,
phyogs ris med pa,,,"sans orientation partisane 
sans position partisane, sans positionnement sectaire",,,
‘phags yul,,,"Âryadesha, l’Inde, le Noble pays, la terre des Âryas",,,
‘phel ‘grib med,,,"sans croissance ni décroissance, sans 
accroissement ni diminution, sans augmentation ni réduction",,,
‘pho ‘gyur med pa,,,"immuable 
sans transition ni changement",,,
‘pho ba,,,"transfert de conscience, transférer",,,
‘pho ba chen po,,,le grand transfert,,,
‘phral gyi bde ba dang yun gyi bde ba la bsam pa,,,la considération des bonheurs temporaires et du bonheur durable,,,
"‘phrul ba, 
rnam ‘phrul",,,"projeter, émaner, projections illusoires 
projections",,,
‘phro can du lus pa,,,la réalisation (de l’expérience) est inachevée,,,
‘phro gcod,,,interrompre les projections,,,
"‘phro bsdu, 
‘phro ‘du, 
spro bsdu",,,émissions et résorptions,,,
"‘phro ‘du med pa spro bsdu med 
pa",,,"sans émission et résorption (des pensées), sans la diffusion-absorption des pensées 
sans l’allée et venue des pensées, sans le mouvement centrifuge-centripète (du mental)",,,
‘phro ba,,,"projections, émissions 
diffus, prolixe, éparses, parsemé, éparpillé, répandu, dispersé, dissipé, disséminé, émaner, se diffuser, proliférer, émerger (depuis le fond universel)",,,
‘phros don,,,explications complémentaires,,,
,,,,,,
BA,,,,,,
,,,,,,
,,,,,,
,,,,,,
bag chags,,,"vâsanâ, propension, tendances, empreintes, des imprégnations 
traces karmiques, résidus karmiques, propensions inconscientes, schémas habituels",,,
"bag chags kyi 
phung po",,,les constituants procédant des habitudes,,,
bag yangs,,,"à son aise, à l’aise, décontracté, qui ne s’en fait pas",,,
bad kan,,,phlegme,,,
ban bun,,,(les apparences) évanescentes,,,
bar do,,,"antarâbhava, l’état intermédiaire, le bardo l’entre-deux, transition",,,
"bar med, 
bar chad med 
pa(r)",,,"ininterrompu ; 
sans obstacle, sans interrumption, sans 
empêchement",,,
bu’i ‘od gsal,,,la claire lumière ‘enfant’,,,
bum can,,,"kumbhaka, bumchen 
respiration vase",,,
bog ‘don,,,"les (moyens d’)amplification(s) (de la pratique), amplifier la pratique",,,
"bya ba’i rgyud, bya rgyud",,,"kriyâtantra, ‘Tantra de l’action’",,,
bya ba’i rgyud kyi theg pa,,,"kriyâtantrayâna, véhicule du Kriyâtantra",,,
"bya bral, 
byar med, 
byar med skyes bu",,,"non action, non agir 
libre d’action, sans activité, libération de toute activité (conceptuelle) ; 
en lequel il n’est rien besoin de faire ; 
une personne qui n’a rien de plus à faire",,,
"bya rtsol, 
bya ba dang rtsol ba",,,"faire effort en une activité, activités et effort, réagir, effort délibéré 
effort volontaire, accomplissement laborieux, effort fastidieux",,,
bya rtsol med pa,,,"sans besoin de s’efforcer à faire 
n’impliquant pas d’effort fastidieux",,,
byang chub,,,"bodhi, éveil",,,
byang chub sems dpa’,,,"bodhisattva, chevalier d’éveil 
héros pour l’éveil, vaillant à l’esprit d’éveil, vaillant pour l’éveil",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
byang chub sems dpa’i theg pa,,,"bodhisattvayâna, véhicule des bodhisattvas",,,
"byang sems, 
byang chub sems, byang chub kyi sems",,,"bodhicitta, l’éveil de l’esprit du cœur, cœur-esprit éveillé, l’esprit d’éveil (c’est-à-dire l’esprit pur, la nature de l’esprit qui est pur, voir n137, n139) cœur-esprit d’éveil, éveil de l’esprit",,,
"byan tshud pa, rang byan tshud pa, 
rang la byan 
tshud pa",,,"expérience personnelle vécue, obtenir la maîtrise par l’expérience personnelle ; 
expérience personnelle vécue à son propre sujet la maîtrise obtenue par l’expérience personnelle nous concernant",,,
byas pa,,,"acte délibéré, action volontaire",,,
byas pa tham cad don med,,,l’expérience de l’inanité (ou vanité) de toutes nos activités,,,
bying ba,,,torpeur,,,
byin rlabs,,,"adhishthâna, consécration, énergie spirituelle, ‘vagues de clarté’, une ondée d’inspiration, un rayonnement d’inspiration, bénédiction, influence spirituelle, inspiration, grâce, être inspiré",,,
byung sa med,,,"ne viennent de nulle part, ne surgissent de nulle part",,,
byed pa po,,,"kartri, créateur, artisan créateur",,,
"bla sgrub, 
bla ma’i rnal 
‘byor",,,"‘pratiques extraordinaires du lama’ ; 
sâdhana du Lama 
guru yoga, yoga du lama, unifier (l’Esprit) du maître (et le sien)",,,
"bla na med pa’i rgyud, 
rnal ‘byor bla na med pa’i rgyud",,,"anuttaratantra, anuttarayogatantra, ‘Tantra de la classe insurpassable’, ‘Tantra inégalé’",,,
bla ma,,,"guru, Lama, maître, Père-Mère de bonté",,,
bla ma’i gdams ngag la bsam pa,,,"(l’entrainement de l’esprit) basé sur la 
considération des instructions du Lama",,,
"bla med, 
bla na med pa",,,"anuttara, insurpassable, sans supérieur 
que rien ne surpasse, suprême entre tous, incomparable, que rien n’excelle",,,
blang dor,,,rejeter ou appréhender,,,
,,,,,,
,,,,,,
,,,,,,
blang dor med pa,,,"sans rejeter ou appréhender 
absence d’acceptation ou de rejet, n’a rien à voir avec l’acceptation ou le rejet, n’implique ni acceptation ni rejet",,,
"blang dor med 
par bskyang ba",,,continuer sans rejeter ou appréhender,,,
blugs pa,,,"remplissage (au sens où la consécration fait voir clairement la présence naturelle des trois corps du fond en soi, à demeure depuis toujours)",,,
blo,,,"intellect, intellection 
esprit, pensée, attitude, esprit ordinaire, conscience ordinaire",,,
blo gros,,,"mati, intellect 
intelligence intellectuelle, ‘d’esprit vif’",,,
blo bde,,,"l’esprit heureux, sans souci 
bienheureux",,,
"blo ‘das brjod 
bral",,,"transcendant l’intellect et au-delà de l’expression par des mots (ou verbale) 
transcender l’intellection et sans mots, 
impensable et inexprimable, au-delà des concepts comme des mots, dépasse l’esprit ordinaire et est au-delà de l’expression",,,
"blo ldog rnam 
bzhi",,,les quatre pensées qui détournent du samsâra les quatre pensées qui transforment notre attitude (envers la vie mondaine),,,
"blo byas bcos 
ma’i lta sgom",,,"vue et méditation fabriquées par l’intellect vue et méditation élaborées (ou façonnées, forgées, produites, engendrées) par l’intellect",,,
"blo byas ‘jur 
dran",,,"l’enchevêtrement des souvenirs produits par le mental 
inextricable tissu des mémoires fabriquées par l’intellect (ou l’esprit, l’esprit conceptuel)",,,
blo sbyong,,,entraînement de l’esprit,,,
"blo rab skal ldan, blo chung skal 
dman",,,les fortunés doués de la plus haute intelligence ; les moins fortunés dotés d’une intelligence moindre,,,
bha sing,,,(le grand charnier) Bhasing,,,
dbang –,,,"abhisheka, pouvoir, consécration, initiation,",,,
,,,,,,
,,,,,,
,,,,,,
"gtor ba dang 
blugs pa",,,"habilitation (voir p36) 
confer de pouvoir ; 
évacuation et remplissage, expulsion et intégration, évacuation et incorporation, (a le sens) de vacuité et de plénitude",,,
dbang bskur,,,conférer une initiation,,,
dbang po,,,"indriya, 1. facultés, facultés sensorielles 2. capacités intellectuelles",,,
dbang po gzhan la rag ma lus pa,,,"ne dépend pas d’autres pouvoirs, sans dépendre de capacités autres",,,
dbang po’i rkyen,,,circonstances des facultés,,,
dbang phyug,,,"Ishvara, Shiva, Seigneur, le tout puissant",,,
dbang phyug pa,,,"Shivaïte, pratiquant du Shivaïsme",,,
dbang bzhi,,,les quatre initiations,,,
dbang lung khrid,,,"initiation (ou habilitation), transmission scripturaire et instructions (guidance)",,,
dbu ma,,,"1. milieu, centre 
2. mâdhyamaka, la Voie Médiane, Voie du Milieu (voir aussi n133) 
3. avadhûti, l’artère centrale Uma, le canal central, Uma",,,
dbu ma pa,,,"mâdhyamika, adepte de la Voie médiane",,,
dbu ma’i rtsa,,,"avadhûti, le canal central 
l’artère centrale",,,
dbu med,,,écriture en main courante,,,
dbyings snang,,,"la clarté de l’immensité 
clarté de l’espace",,,
"dbyings snang 
rnam dag gi 
sgron ma",,,"la luminosité de la parfaite pureté de l’immensité de l’apparent, la luminosité parfaitement pure de l’immensité des apparences",,,
"dbyings, 
dbying",,,"dhâtu, le domaine de l’ouvert, l’immensité, l’ouverture immense, le domaine de l’expérience, le domaine de toute expérience, la sphère (grand) espace, dimension, espace fondamental",,,
dbyings rig,,,"sphère et intelligence, l’intelligence immédiate de l’immensité, l’immensité intelligente, domaine intelligence, domaine de l’ouvert habité de l’intelligence, l’indissociabilité de domaine et de l’intelligence, intelligence et domaine (non-deux), l’immensité et l’intelligence",,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
dbyings rig dbyer med,,,"domaine de l’ouvert habité de l’intelligence non deux, l’indissociabilité de domaine et de l’intelligence, l’union de l’intelligence et du domaine, l’intelligence et domaine non-deux (l’intelligence qui vit en soi ce qu’elle 
expérimente)",,,
dbyings rum,,,l’immensité matricielle,,,
dbye bsdu,,,"les catégories 
classifications, diviser en catégories",,,
"dbye ba, 
rnam dbye",,,"classification ; 
différencier, diviser 
distinctions",,,
"dbyer med, 
dbye ba med par",,,"non deux, indissociabilité 
inséparabilité, indivisible",,,
"‘bad rtsol mi 
dgos pas, 
‘bad rtsol bya mi dgos",,,"l’effort acharné n’étant pas nécessaire ; 
la vigueur de l’effort étant superflue, efforts et tentatives étant inutiles 
il n’est pas nécessaire de s’échiner avec effort",,,
‘byams pa,,,un égarement,,,
"‘byung lnga’i 
rnal ‘byor",,,le yoga des cinq éléments,,,
‘byung ‘jug med pa,,,sans l’avènement ni l’implication en/de (quelque chose),,,
"‘byung gzhi, 
thams cad 
‘byung ba’i gzhi",,,"le fond d’où tout survient (ou surgit, jaillit), la base d’émergence (de toute chose) 
le gisement de base, le gisement à la base de tout, le bassin d’émergence de tout",,,
"‘byung bzhi’i 
sgra don",,,le sens des quatre éléments,,,
‘bras bu,,,"phala, le fruit, le résultat 
les conséquences, but",,,
"‘bras bu’i theg 
pa",,,"phalayâna, le véhicule du fruit, le véhicule résultant",,,
‘bras bu’i rdo rje theg pa,,,le vajrayâna ou le véhicule du fruit,,,
,,,,,,
,,,,,,
,,,,,,
‘brel ba,,,"connecté, lié, interconnecté 
relié, relation interdépendante (entre les choses), relation dépendante",,,
sbyin pa,,,"générosité, don",,,
sbyong lam,,,la voie de la purification,,,
sbyor sgrol,,,rites sexuels et rites meurtriers,,,
sbyor lam,,,"prayoga mârga, la voie de la jonction 
voie de l’union, voie de l’approche, voie de l’application, voie de la préparation",,,
,,,,,,
MA,,,,,,
