Tibétain,Sanskrit,Anglais,Sens racine Français,"Autres termes rencontrés",Definition,Ordre alpha tib
don dam pa ,"paramārtha, pāramārtha",ultimate (SL BP),"Sens, réalité, véritable, ultime","état essentiel de tous les phénomènes, réalité ultime
sens ultime, fondamental, essentiel, suprême, l'absolu, vérité (elle-même), validité absolue, au sens véritable
l'état véritable, l'absolument réel
libération, délivrance","la nature vide des phénomènes (dharmatā) ineffable et impensable, qui est uniquement du domaine de la connaissance primordiale auto connaissante 
syn de kho na nyid, absolu (GCLAvr93)",406
don dam bden pa ,paramārthasatya,ultimate reality (SL BP),"Réalité ultime ;
Réalité absolue ;
La réalité du sens ultime ;
Vérité ultime ;
Vérité absolue.","réalité, niveau, vérité ultime, suprême, absolue, telle qu'elle est","(TDC) don dam bden pa, 
bden pa gnyis kyi ya gyal zhig ste, bye brags mra bas gang zhig bcom pa 'am blos cha shas so sor bsal ba na rang 'dzin gyi blo 'dor du mi rung ba'i chos cha med gnyis dang,mdo sde pas sgra rtog gis btags par ma ltos par rang gi sdod lugs kyi ngos nas rigs pas dpyad bzod du grub pa'i chos rang mtshan dang, sems tsam pas don dam dpyod byed kyi rig shes tshad mas rnyed don yongs grub kyi chos, dbu ma pas rang mngon sum du rtogs pa'i mngon sum tshad mas rang nyid gnyis snang nub pa'i tshul gyis rtogs par bya ba gnas lugs stong pa nyid la 'dod pa bcas 'dod lugs mi 'dra ba bzhi yod,...
 
(RY) don dam bden pa
 * [paramaartha-satya] absolute truth, *. essence or literal meaning of the absolute truth; ultimate reality",407
don dam pa’i gnas lugs,,ultimate abiding nature (SL BP),,,,408
"don gnyer 
= don du gnyer ba ",,,"Faire effort,
Tendre vers, 
S’efforcer à,","tendre vers, s'efforcer à, s'appliquer à, aspirer à, effort, intérêt, chercher
s'occuper de, prendre soin de, s'intéresser à, avoir un vif intérêt pour, inspiré par, concerné par, être attentif à","(TDC) don gnyer,
 'bad brtson byed pa,...bde skyid don gnyer byed pa,...yon tan don gnyer byed pa,...
 
(RY) don du gnyer ba 
pursue [thd]. 1) interest, pursuit, effort; 2) to seek, pursue, be interested in, study, aim at, aspire to, be driven towards, strive for, try to get, seek earnestly, strive after",409
don dam par grub pa ,,,"Existant (accompli, étant, ou qui est…) en réalité absolue, ultime ;

Existant en soi,
Subsistant en soi, de soi, par soi ;

Existant naturellement ;

Existant en l’ainsité
",,"(TDC) don dam par grub pa 
bden grub, bden par grub pa ste, blo la snang pa'i dbang gis gzhag pa ma yin par yul rang gi sdod lugs kyi ngos nas grub pa de bden par grub pa'i tshad yin, rang gi mtshan nyid kyis grub pa dang, rang bzhin gyis grub pa, rang ngos nas grub pa, yang dag par grub pa, don dam par grub pa, de kho na nyid du grub pa sogs don gcig ming gi rnam grangs yin,...

 (RY) don dam grub pa
 1) ultimate, absolute, 'true meaning'; ultimate [truth], absolute truth, ultimate reality; {don dam bden pa}. 2) the exact state of the case, the real / true / ultimate meaning",410
don spyi ,,object-universal (SL BP),"Concept, signifiant,
Représentation conceptuelle ;","idée, représentation mentale, conception, concept, conceptuel
sens général, universel, généralité, réalisation générale
image, concept générique ","(TDC) don spyi, 
spyi'i nang gses, rtog pa'i snang ngo tsam du grub pa'i sgro btags kyi cha 'am don gyi cha 'dra blo la snang ba, dper na, rtog pa la snang ba'i bum pa lta bu'o,...
 
(RY) don spyi 
object universal [thd]. conceptual generality; abstract concept; generic object/ image; object-image, mental image; generic image, meaning generality, mental image, - object-image, general concept, notion, idea, generic image, meaning generality. [def. {rang gi snang yul la 'khrul pa'i rig pa}. mental image. object-universal [ggd]",411
"don yod grub pa 
= don grub ","Amoghasiddhi, siddhārtha, madhya",,"Amoghasiddhi

Celui qui accompli ce qui est bon, ce qui fait sens, ce qui est à faire.","Amoghasiddhi, “la réalisation de ce qui est à accomplir”, réaliser son but, atteindre son objectif, réalisation du sens (de)
assemblage
significatif
bénéficier au regard des besoins","(TDC) don yod grub pa 
don yod grub pa, rgyal ba rigs lnga'i nang tshan zhig  ..

(RY) don yod grub pa 
Amoghasiddhi, accomplishing what is meaningful; Accomplishment of Meaning. Amoghasiddhi, the Buddha of the karma family 

un des cinq victorieux",412
drva ba ,jāla,,"Filet, toile","toile, filet, filigrane, tapisserie, trame, damier, mosaïque, tissage, entrelacs, quadrillage, ossature, armature, réseau",,413
drag po ,"krodha, rudra, māra, raudra",,"Fort, terrible, féroce, courroucé,","terrible, féroce, sévère, rugissant, grondement, courroucé, colère, destruction, violence, activité violente, forte, subjugation, farouche, acharné, redoutable, impitoyable, houleux, accablant, épouvantable, furieux, à toute épreuve, âprement",,414
drang don ,neyārtha,provisional meaning (SL BP),"Sens didactique,
Sens pédagogique
Sens pour guider,
Sens intentionnel","sens didactique, pédagogique, propédeutique, (maïeutique)
sens, signification à caractère interprétable, relatif, indirect, figurable, sens pédagogique, intentionnel, provisoire, allégué, à prouver, intentionnel, d'approche, conventionnel, interprétable","(TDC) drang don, 
drang ba'i don gyi bsdus tshig

drang ba'i don, 
gdul bya thun mong ba rnams kha drang ba'i phyir du 'jig rten snang tshod du grags pa gtsor byas pa, gang zag dang sems can dang, phung khams skye mched la sogs pa dang, de dag gis kye 'gag 'gro 'ong la sogs pa smra bsam brjod pa'i rim pas gzhal zhing sgro btags nas bstan pa dang, de rjod byed kyi gsun grab dgongs 'grel dang bcas pa'o,...

 (RY) drang don 
expedient meaning. interpretable [ggd]. provisional meanings. hinted or provisional meaning. expedient meaning, assumed meaning, interpretable, provisional meaning, requiring interpretation. {'dul bya kha *}; conventional meaning, / conditional meaning/ truth",415
drang srong ,ṛṣi,sage (SL MW),"Rishi,
Un saint,
Un homme droit,
Un honnête homme,
Prophète,
","un sage, un juste, ṛiṣi, saint, ermite, contemplatif accompli, un homme droit, intègre,","(TDC) drang srong, 
1) lus ngag yid gsum g-yo sgyu med par drang po'i phyogs su srong ba,...ming gi rnam grangs la kun tu rgyu dang, dka' thub spyod, khrus kyi brtul zhugs can, dge bar slong, ngagbs dams pa, nyon mongs thul, brtul zhugs can, thul ba, bden smra,sdom brtson dbang po, pha rol 'dod, mi smra, smra ba bcad,gtsang gnas, tshangs pa'i spyod pa, rig byed klog bcas so, 2) gludbyangs nges pa bdun gyi ya gyal zhig  ...3) (mngon) 'od zer can dang, nyi ma, rgyun shes, 'od yangs, lha min 'joms, mchod sbyin can, gnas 'jog ste skar ma smin bdun la gnas pa'i drang srong bdun yod pas grangs bdun mtshon,...
 
(RY) Rishi. 
1) 'Seer', inspired Vedic *, Brahmanical ascetic with magical powers. 2) Title for someone has attained the power of truthful speech so that whatever he says comes true. rishi, *; holy hermit, hermit type saint, *, seer; [straightforward, righteous one]. a *. Rishi, Indian ascetic. Rishi, an Indian *. the * visionnaire, les immortels chinois",416
dran pa ,"smṛti, manana, smara, smṛīti",,"Avoir présent à l’esprit,
Garder présent à l’esprit,
Se souvenir,
Ne pas oublier,
Se remémorer,
Rappel,
Mémoire,
Souvenir,
","se souvenir, se remémorer, mémoire, souvenir, mémoration, souvenance, retenir
le rappel (en méditation)
avoir présent à l'esprit, présence d'esprit, présence consciente, attention, calme attentif, vigilance, être alerte, penser à
pensées, imagination","(TDC) dran pa, 
1.(tha dad pa) sems la yang yang 'khor nas mi brjed pa,...dran pas ma zin,...sngon ma'i gnas tshul dran du 'jugpa,...sngar byung sdug bsngal rnams yid la dran pa,...da lta'i bka' drin dran pa,...'grul pas rang gi pha yul dran pa,...pha mas rang gi bu phrug rnams dran pa,...chang gis ra bzi nas dran pa mi gsal ba,...2.yul nges lnga'i nang gses, sngar 'dris pa'i dngos po la dmigs nas mi brjed pa'i shes pa brjed nges kyi gnyen po mi g-yeng ba'i byed las can no,...

 (RY) dran pa 
{dran pa, dran pa, dran pa, dran} trans. v.; to think; pay attention, be mindful; recall, be mindful, think about, miss; remember with longing, meditate, become aware of, contemplate 1) mindfulness, memory, alertness, presence of mind, recollection. / recollectedness; alertness; presence of mind; memory, thinking; mindfulness, awareness, presence of mind, attentiveness, attention, memory, recall, remembrance, recollection, consciousness, one's full senses. 2) consciousness, thinking, recollection or memory, Skt. smriti, 3) one of the five object determining mental states, Def. by Jamgön Kongtrül: {'dris pa'i dngos po mi brjed pa}. 4) one of the {'phags lam gyi yan lag brgyad} the eightfold noble path. memory [ggd]. to bear in mind. keep in mind 

• ne pas oublier, en se remémorant dans son esprit 
• un des cinq types d'expériences “sûres”; c'est la connaissance qui consiste à ne pas oublier un objet familier; ayant pour fonction d'éviter l'agitation et l'égarement, c'est un remède à l'oubli (GCLAvr93) ",417
dran pa shes bzhin bag yod ,smṛti saṃprajāya,,"Souvenir, attention et precaution.","présence d'esprit, vigilance, vivacité, se rappeler (les instructions et l'inspiration), rappel, (pleine) conscience, conscient, rappel
introspection (attentive), minutieuse, consciencieux, conscient, présence d'esprit, alerte, vigilance (attentive), attention (constante, qui veille, qui est présente à tout ce qui se passe autour), conscience (du présent, vigile), garde, calme attentif
et
minutie, attention, consciencieux, être attentif, attention, soin (attentif), vigilance, inspection, conscience attentive, veiller soigneusement, au bien","(RY) shes bzhin 
inspection. Sheshin, in Domey. 1) alertness, watchfulness; self-possession, attentiveness, introspective alertness, vigilance. {sems 'jog pa} mental placement. conscience, conscious, cognitive alertness, *, awareness; conscientiousness, attentiveness, introspective alertness. self-possession, vigilance, self-possession, 2) knowingly, conscientious, on purpose, willfully

(RY) bag yod 
carefulness [thd]. heedfulness/ carefulness; careful/ modest/ discreet; attentiveness, careful, carefulness, heedful, to pay heed, conscientious, mindfulness, to pay heed, mindfulness. Def. by Jamgön Kongtrül: {zag bcas kyi chos rnams las sems srung zhing dge ba'i chos sgom pa}",418
dri ma ,mala,,"Odeur,
Impureté,
Tache,
Saleté,
Faute,
Obscurité","odeur
impureté, saleté, souillure, tache, crasse, malpropre, sordide, salir, souiller, pas net, ternir, entacher, distorsions, barbouiller, pollution
excrétions, excréments, résidu, scories
faute, défaut, passion ","(TDC) dri ma,...
1) sna'i yul dri bsung,...dri ma zhim po,...dri mangan pa,...
2) nag nog dang dreg pa,...gyon pa dri mas sbags,...dri ma can

(RY) dri ma 
distortions. aroma. 1) smell; odor, scent, 2) *, dirt, filth, impurity, excrement, ordure, taint; stain; distortion, distorting influence",419
"dri ma med pa 
= dri med ","vimala, nirmala, amala",,Immaculé,"sans souillure, défaut, faute, tache, impuretés, pollution 
immaculé, pur, impeccable, inadultéré",,420
dri za ,gandharva,,"Mangeur d’impuretés,
Mangeur d’odeur,","gandharva, mangeur d'odeur, habitants des cieux qui subsistent d'odeurs, musiciens célestes
mânes","(TDC) dri za, 
1) <ghandharba> 'dod pa'i bar srid de skal ba bzang ngan gyis dri zhim pa dang mi zhim pa za ba'i phyir dri za zhes bya'o,...2) 'dod lha'i glu mkhan gyi bye brag cig  ...

 (RY) dri za 
*; odor-eaters; ""scent eater"". 1) denizens of the sky, who subsist on odors. 2) disembodied spirit/ mind in intermediate state after death. Gandharva. 1) A class of sentient being who lives on scents. 2) A type of celestial musicians living on the rim of Mt Sumeru. Gandharvas, ""odor-eaters"", a class of spirits",421
dril bu ,ghaṇṭā,,"Cloche, 
Clochette ","cloche, clochette rituelle ",,422
drod ,"uṣma, uṣmagata",,"Chaleur,
Energie, Intensité, quantité, ","(sensation de) chaleur, chaleur de l'expérience
mesure, quantité, degré","(TDC) drod, ...
1) lus dang gnam gshis dang me sogs kyi drod ming rkyang,...nyi ma'i drod,...lus kyi drod,...bsil drod,...2) tshod,...nyams drod,...yon tan gyi drod,...drod mi shes pa,...3) sbyor lam nges 'byed cha bzhi'i nang gses, so so rang rig pa'i ye shes kyis bden bzhi'i chos la dmigs nas bsgoms pas, nang 'dzin pa yid kyi brjod pa tsam ma gtogs gzung ba phyi don med par rtogs pa'i snang ba thob pa'i ting nge 'dzin zhi gnas dang shes rab lhag mthong mtshungs ldan dang bcas pa ste, dper na shing gtsub pa las me 'byung ba'i sngon du drod 'byung ba ltar mthong lam gyi ye shes me lta bu skye ba'i snga ltas su drod thob pa'o,...


 (RY) drod 
*; *; warmth, realization. [in {theg chen sbyor lam}. Heat. The first of the 'four aspects of ascertainment' on the path of joining. Getting close to the flame-like wisdom of the path of seeing by possessing concentration concurrent with discriminating knowledge. bodily * 

une des quatre catégories du chemin de la jonction, prémisses de mthong lam",423
drod rtags ,,,"Signes d’accomplissement,Signes d’intensité,
Signes de chaleurs","signe de succès, de chaleur, de progrès","(RY) drod rtags 
signs, - of accomplishment, proficiency [in practice]. signs of progress",424
drod tshad ,,,"Température
(Mesure de la chaleur)","niveau d'expérience de compréhension immédiate, niveau de certitude, atteindre le plus haut niveau de (la chaleur de) l'expérience
température, canicule, fièvre
niveau d'accomplissement, degrés de réussite, degrés de succès 
mesure de la réussite, de la chaleur",,425
gdangs ,,,"Air, mélodie,
Ton, intonation,

Eclat, (pour la lumière ou le son), radiation, irradiation, lustre,
Teint, radiance, (ce second sens est plutôt pour mdangs)","air, mélodie
ton, tonalité, sonorité
façon de faire
éclat (lumineux), radiance, translucide, (qualité) radieuse, luminosité originelle, clarté (ultime, subtile), nature lumineuse, force intérieure, subtile, ultime, brillance externe, l'éclat fondamental de la base, énergie, rayonnement, lueur, ardeur (naturel, interne), brillant, rutiler, rayonner, profondeur","(TDC) gdangs,...
1) sgra'i nyams,...skad gdangs,...gzhas gdangs,...gdangs bcag pa,...gdangs chag pa,...gdangs snyan po,...gdangs 'dra ba,...gdangs 'then pa'i sgo nas snyan tshig'don pa,...dung gdangs ring po zhig btang song,...2) (rnying) byed lugs,...
 
(RY) gdangs
 1) tone, pitch. 2) tune, melody 3) p. of {gdang} chant, slow formal chant. 3) manifestation, open, lustrous, refection, projection, tone, accent, voice, complexion, radiance, luster, open, gaping, music, harmony, melody; manifestation; manifestation, refection, projection; tone, sound, chant, melody, pitch, tune; accent, voice, tone of; color, complexion, radiance, luster; open, gaping; translucency, translucent. x {gsung gi gdangs} - the sound of his voice

(TDC) mdangs,...
1) mdog gam bkrag  ...'od mdangs,...zhal mdangs,...brtse ba'i mdangs,...2) lus kyi khu ba'i yang khu dvangs ma mthar phyin

 (RY) mdangs
1) splendor, beauty, appearance. 2) *, vitality, hue, brightness, luster, glow, inner glow, luster, radiant; luster, light; brightness, 3) shade of color 4) reflection [of light]. 5) {gdangs} complexion, expression, manifestation, face, facial expression, bright complexion; air, mien. 6) last night; 7) splendid, beautiful, luster",426
"gdams ngag 
= zhal gdams h",upadeśa,,"Instructions, Conseils,
Instructions orales,","instructions (générales), orales, précieuses, préceptes, directives, conseils, enseignement général
“élucidation”, explication","(RY) gdams ngag
 [MSS: Skrt. avavada, upadesha] instruction; oral instruction, advice, direction, precepts, spiritual advice, spiritual instruction. Ex. {gnad kyi gdams ngag} essential advice. MSS: compare with {man ngag} (upadesha). [mss]",427
gdul bya ,,,"Disciple,
(les personnes) à aider, à discipliner","disciple, les êtres à aider, à discipliner ","(RY) gdul bya
 ex {skal bzang gi gdul bya} fortunate students. disciple, student, someone to be tamed / trained, a tamable being, {'dul}; conquering, taming, disciple, student, someone to be tamed; conquering, taming, disciple, student, trainee. one to be tamed; disciple, those to be trained / tamed",428
"gdeng 
= gdengs ",,,"Certitude, confiance, assurance,","confiance, assurance, certitude (définitive)","(RY) gdeng 
confidence, assurance, cheerfulness, self-assurance, trust, guaranty, competence, to spread, disperse, scatter, confident, raise. Syn {'phyar}avoir, obtenir la qualité et la confiance dans la vue juste",429
"gdod ma 
→ thog ma ",ādi,primordial (SL MW),"Origine, début, premier","premier, primordial, originel, commencement, origine ","(TDC) gdod ma, 
thog ma 'am dang po,...gdod ma'i dus,...gdod ma'i nag stshal,...

 (RY) gdod ma, 
primordial; *",430
gdon ,graha,,Esprit malfaisant (qui rend fou) Démon,"démons, esprit, force, être, influence, entité négative, nuisible, névrotique, malfaisant, démoniaque, malicieux, destructif, forces du mal","(TDC) gdon, mi min gyi gnod byed cig  ...kho'i sems rgyud gdon gyis brlams pa ltar smyon par gyur,...rang dbang med par gdon zhugs pa,...
 
(RY) gdon 
*; demon, demonic / negative force, harmful / evil spirit / influence, madness. {'don}; demon / certainty; a demon. dön. A negative force; a type of evil spirit. evil spirits. evil spirits; nad gdon - disease and evil spirits",431
bdag ,"ātman, ātmā","self, self-entity  (SL BP)","Atman
Soi, moi, ego,
Entité, être.

Maître,","soi, ego, je, ātman
entité, identité
être
existence propre, l'ego, le moi, substance ","(TDC) bdag,
  rang nyid dam nga,...bdag gi pha ma las kyang bka' drin che,...bdag tu ma bzung ba,...gzhan gyis gdag tu 'dzin pa,...dong nad 'di nga la rgyus yod pas bdag drag snyam pa 'dug  ...gdag rkyen, 1) byas rjes bzang po la gzengs bstod pa'i dngos po,...2) rkyen bzhi'i nang gses, 'bras bu 'byung ba la dbang byed pa ste,mig la sogs pa'i dbang po ni rang 'bras shes pa skyed pa'i bdag po byed pas bdag po'i rkyen zhes bya'o,...
 
(RY) bdag
 1) atman, I, me, self, oneself, ego, myself. 2) vi. to belong to, own, 3) essence, self- entity, identity, {bdag nyid}; 4) ruler, king, source; soul; master; great being, sovereign. Syn {bdag po}",432
"bdag rkyen
= bdag po’i rkyen",,,"Cause principale
Cause efficiente,
Cause qui a la capacité de faire apparaître le résultat,","cause, facteur dominant","(TDC) bdag po’i rkyen (voir bdag)
rkyen bzhi'i nang gses, 'bras bu 'byung ba la dbang byed pa ste, mig la sogs pa'i dbang po ni rang 'bras shes pa skyed pa'i bdag po byed pas bdag po'i rkyen zhes bya'o,...

(RY) bdag po’i rkyen 
dominant condition, ruling condition, controlling condition. Syn {bdag rkyen}

 (→ Georges) ",433
bdag bskyed ,,,Génération de soi (comme déité),"génération, représentation de soi, auto-génération",,434
bdag nyid ,"svātma, ātman, ātmā",,"Soi-même ;
Nature ou essence,
Personne, 
La personne en soi","soi-même, moi-même, propriété, le propre de, être en soi, avoir la nature de
nature, essence, nature propre
maître, propriétaire
personne, identité, soi, être de qqch, incarnation de
l'être ","(TDC) bdag nyid, 
1) rang nyid dam nga rang,...bdag nyid la gson cig...rgyal po bdag nyid,...bdag nyid kyi 'gal ba,...2) rangb zhin nam ngo bo,...3) bdag po,...mkhyen pa'i bdag nyid,...thugs rje'i bdag nyid,...nus pa'i bdag nyid,...ming gi rnam grangs la skye ba po dang, skyes bu gtso, gang zag rang, mchod sbyin sbyor, nyer skrun pa, shed bdag shed bu, shed las skyes bcas so,
 
(RY) bdag nyid 
yourself; x {rigs kyi bu khyod kyis bdag nyid la nad pa'i 'du shes bskyed par bya'o} noble one, you should think of yourself as someone who is sick. * [thd]. I, great being, being, lord, ""atman itself."" great being, lord, sovereign, [- Syn {rang bzhin} nature, *, entity, personification, nature, oneself, myself, himself, themselves, possess. see {ngo bo} or {rang bzhin} self, svayam, {rang nyid}; great being, lord, sovereign; [- Syn {rang bzhin] nature, *, entity; personification; oneself/ yourself/ myself; see {ngo bo} or {rang bzhin} the very nature, quintessence; essence, nature, - entity; on one's own, personification, nature; epitome; yourself",435
bdag nyid chen po ,"mahātma, paramātmā, paramātma",,"Mahatma
Grand être,
Grande nature,
Personne authentique,
Les Bouddhas (épithète de tout Bouddhas)","grand être, notre propre intégrité, vrai soi, soi authentique, l'état total, identité suprême, le grand état, les grands souverains","(TDC) bdag nyid chen po, 
1) bdag po chen po,...2) (mngon) sangs rgyas spyi,...
 
(RY) bdag nyid chen po 
Mahatma. One of noble nature, exceedingly wise, etc. 1) epithet of all Buddhas. 2) great being, personage, title of address for great spiritual figures. 3) greatness of nature, great identity. 4) magnanimous",436
bdag po ,"pati, adhipati, adhipa",,"Maître,
Propriétaire,","seigneur, sieur, maître, souverain, chef
possesseur, propriétaire","(TDC) bdag po, 
dbang ba po 'am gtso bo,...bdag po'i 'du shes,...don gyi bdag po,...khang bdag  ...zhing bdag  ...'brog bdag  ...mnga 'bdag  ...mi bdag bdag tu re, bdag po sgo khyir 'don,...
",437
bdag med ,"anātman, nairātmya, nairātma, nirātmaka","absence of self-entity (SL BP)
selfless (SL MW)","Non soi,
Sans soi.
Non ego
Sans moi","non-soi, non-moi, dépourvu de, sans, absence d'ego, d'être en soi, d'un soi, d'existence propre, de personne, de possesseur, sans soi, insubstantiel, insubstantialité, qui ne demeure pas dans l'ego, sans notion d'identité","(TDC) bdag med, 
1) bdag bzung byed mkhan med pa,...nor bdag med byang gi 'brong,...2) bdag med pa'i bsdus tshig
",438
"bdag 'dzin 
= ngar 'dzin ","ātmagrāha, ahaṃgrāha",,"Saisie d’un soi
Saisie d’un ego
Saisie égotique,
Saisie de soi,
Saisie du soi, du moi,","(faculté de) saisie, conception (erronée), fixation, notion, croyance, attachement, appréhension de l'ego, d'un soi, (au concept) d'un moi, au soi, au moi, la réalité de, égotique, s'attacher (aux skandha) comme “soi”, s'accrocher, s'agripper à un soi (réel et permanent), à son identité, égotisme, égoïsme, amour propre, chérir son ego, réification de sa (propre) identité, identité appréhendée",,439
gdags gzhi ,,,"Base de conceptualisation, de désignation, d’imputation.","base, support de la dénomination, de la conceptualisation, de l'imputation, de la conception, de la désignation, substrat","(RY) gdags gzhi
{gang du'ang gdags gzhi bral ba} devoid of any basis for such labels. basis of designation, labeling basis, basis for imputation. labeling basis, {btags don}; basis of designation [ggd]. basis for designation, basis for imputation [thd]",440
bdud ,māra,,"Nuisances,
Obstacles,
Démons,","démon, diable, māra (le Malin, le Malfaisant, le Malveillant, le démon), satan, le malin, esprit démoniaque, esprit malin, obstacles, forces du mal, mortifiantes, démoniaques, conflits diaboliques
malfaisance, négativité, maux, méfaits, attitude négative","(TDC) bdud,...
1) <m'ar> sems can la gnod 'tshe dang dge ba la bar chad byed mkhan, 'dod lha rigs drug gi nang gses shig  ...bdud kyis brlams pa,...bdud stobs thams cad las rnam par rgyal ba,...bdud phyir rgol ba,...bdud kyis mi bskyod pa,...2) (mngon) bdud la lha'i bu dang, nyon mongs pa, 'chi bdag,  phung po bcas bzhi yod pas grangs bzhi mtshon,...
 
(RY) bdud 
demon [thd]. demonic forces; Mara, demon, [mara]; Mara, demon; evil, obstruction; fiendish; demonic forces. monster, evil. deadening influence; ex. {bdud 'dul} tamer of Mara. Mara. * or demonic influence that creates obstacles for practice and enlightenment. Mythologically said be a powerful god who dwells in the highest abode in the Realm of Desire; the master of illusion who attempted to prevent the Buddha from attaining enlightenment at Bodhgaya. For the Dharma practitioner, Mara symbolizes one's own ego-clinging and preoccupation with the eight worldly concerns. Generally, there are four maras or obstructions to practice of the Dharma: those of defilements, death and the aggregates, and the godly mara of seduction. Sometimes the four maras are mentioned by name; Lord of Death, Godly Son, Klesha and Skandha 

• ce qui nuit, fait du mal et des obstacles à ce qui est positif 
• un des six dieux du monde du désir (GCLAvr93)
• diable : sens étymologique F : ce qui sépare",441
bdud rtsi ,amṛta (“non-mort”),,"Amrita,
Ambroisie, nectar, élixir,
Médecine à démons,
Remède aux démons","ambroisie, nectar, élixir, hydromel
le remède aux démons
la substance qui soumet la mort ","c'est le breuvage d'immortalité
le nectar qui enivre le démon: prajñā, l'alcool, la Mère, la vacuité",442
bde ba ,"sukha, ananda, kṣema, śubha",,"Bonheur, Joie, bien-être, félicité, agréable, plaisant,","bonheur, (état de) félicité, ravissement, bien être, joie, béatitude, plaisir, (sensation) joyeuse, plaisante, confortable, délice, heureux, agréable
habile ","(TDC) bde ba, 
1. dga' zhing sim pa'i tshor ba'am myong ba,...sdugb sngal las bsgral te bde bar bkod pa,...tshe smad du bde ba dang ldan pa byung ba,...bde ba bla na med pa'i mya ngan las 'daspa,...2. ...1) skyid po dang, sim po,...nad 'tshe med pas bde bar gnas pa,...nyin mor las rtsol byas nas mtshan mor bde bar gnyidkyis log pa,...lus sems bde ba,...2) byang goms che ba 'am mkhas po,...lag pa bde ba,...kha bde lce bde,...skad cha bde ba,...3) las sla po,...rgya lam bde ba zhig la 'gro,...'char gzhi 'ding dus nas lag len 'jug bde yod med la bsam blo gtong dgos,...

(RY) bde ba
 *; good, happiness, welfare, happy, propitious, positive, merit, deeds, virtuous, wholesome, goodness. {las dge ba}. virtuous deeds. virtuous; syn {legs spyad dang gtsang byed} good deeds or purifying actions
",443
bde 'gro ,,,Existences heureuses,"états, migrations, destinées, états d'existence, condition heureuses, fortunés, supérieure ",,444
bde sdug ,sukha-duḥkha,,"Bonheurs et malheurs,

Qualité de vie,","(qualité de l')expérience
bonheur, plaisir, joie, félicité, bien-être, expériences joyeuses, agréable,
et/ou 
malheur, peine, chagrin, souffrance, frustration, douleur, affliction, déplaisir, douloureux",,445
bde ba can ,Sukhavatī,,"Déwachen,
Domaine de la félicité,
Doté de bonheur.","domaine de la félicité, le champ de la félicité ",,446
bde bar gshegs pa ,sugata,sugata (those gone to bliss) (SL BP),"Sughata,
Parti en félicité,
Parti en le bien-être.","(celui qui est, qui s'en est) allé, parti en, qui marche en, qui a atteint l'état de la félicité, allé en la joie, ceux qui s'en furent en la félicité, bienheureux
Celui allé en la joie, le Bienheureux, Celui qui s'en est allé dans la félicité, Celui qui s'en fut dans la paix, Celui qui partit dans la paix",épithète du Bouddha,447
"bde bar gshegs pa'i snying po 
= bde gshegs snying po ",sugatagarbha,sugatagarbha (heart of those gone to bliss) (SL BP),Nature de Bouddha,nature de bouddha,"le sugatagarbha est le continuum fondamental, immanent depuis toujours en le courant d'existence de tous les êtres ; il a pour propriété : en essence, d'être vide, par nature lumineux, et d'être une énergie de compassion omniprésente (GCLAvr93)",448
bde legs ,,,"Excellent bonheur, ","bonheur parfait, excellent
propice, faste","(TDC) bde legs, 
'phral skyid phugs legs,...gnyen sgrig rten 'brel bkra shis bde legs phun sum tshogs pa byung song,...
",449
bden grub ,satyasiddha,,"Exister réellement,
Avoir une existence en soi,
Etre en  soi, de soi, par soi,
Etre vraiment.","exister réellement, en réalité, (avoir une) existence réelle, affirmer une véritable existence à","(TDC) bden grub, 
bden par grub pa ste, blo la snang pa'i dbang gis gzhag pa ma yin par yul rang gi sdod lugs kyi ngos nas grub pade bden par grub pa'i tshad yin, rang gi mtshan nyid kyis grub padang, rang bzhin gyis grub pa, rang ngos nas grub pa, yang dag par grub pa, don dam par grub pa, de kho na nyid du grub pa sogsdon gcig ming gi rnam grangs yin,...

l'existence réelle n'est pas quelque chose établi, pas une apparence conceptuelle, c'est un objet qui existe par lui-même ; qui existe de par ses propres caractéristiques, qui existe en lui-même, qui existe de par lui-même, qui existe parfaitement, qui existe en vérité ultime, qui existe absolument ; tous ces termes étant des synonymes (GCLAvr93)",450
bden pa ,satya,"reality, real, true existence (SL BP)","Vérité, réalité,
Vrai, fiable, réel,","vérité, réalité, authentique, existence vraie, réelle, véridique, la véracité","(TDC) bden pa, 
1. rdzun ma'i ldog phyogs te dngos gnas,...bden pa'i dngos po,...da res kyi kha mchu de'i bden pa nga la thob byung,...bden lung pa gnyis de phu thag ring, rdzun aa bra gnyis de mjug ma thung,...2. drang po 'am dngos gnas mi slu ba,...skad cha bden pa bshad pa,...
 
(RY) bden pa 
to be true, true, truth; righteous; authentic, valid, genuine. authenticity",451
bden pa gnyis ,satyadvaya,,Les deux réalités,"les (indivisibles) deux vérités, la double vérité ",,452
bden pa bzhi ,"caturārya satya, catvāri ārya satya, catuḥsatya",,Les quatre réalités,"les quatre réalités, (nobles) vérités ",,453
bden tshig ,satyakathā,,"Paroles de vérité,
Paroles de réalité,","parole, propos véridique, authentique, parfaite, sincère, de vérité, exactitude, véracité, verdicts, authentiques, parole de vérité, vœu solennel, imprécation
paroles mantriques","(TDC) bden tshig  
1) yang dag pa'i tshig  ...snying nas zhus pa'i bden tshig  ...
2) sngags skad,...
 
(RY) bden tshig 
truth, true words, words of truth, true speech",454
